name,geoid,year,filename,note
Acworth,3301900260,2025,3301900260_2025.pdf,text-form
Albany,3300300420,2024,3300300420_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Alexandria,3300900580,2025,3300900580_2025.pdf,scanned-ocr
Allenstown,3301300660,2024,3301300660_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Alstead,3300500820,2025,3300500820_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Alton,3300101060,2024,3300101060_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Andover,3301301460,2025,3301301460_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Antrim,3301101700,2025,3301101700_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Atkinson,3301502340,2024,3301502340_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Bedford,3301104500,2020,3301104500_2020.pdf,no standard DRA form found (name-only summary or city GASB format)
Bennington,3301104900,2025,3301104900_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Benton,3300905060,2024,3300905060_2024.pdf,text-form
Berlin,3300705140,2021,3300705140_2021.pdf,no standard DRA form found (name-only summary or city GASB format)
Bethlehem,3300905460,2024,3300905460_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Bow,3301306500,2025,3301306500_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Brentwood,3301507220,2024,3301507220_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Bridgewater,3300907540,2025,3300907540_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Bristol,3300907700,2025,3300907700_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Brookfield,3300307940,2025,3300307940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Brookline,3301108100,2024,3301108100_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Canaan,3300908980,2025,3300908980_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Canterbury,3301309860,2024,3301309860_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Carroll,3300710100,2024,3300710100_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Center Harbor,3300110660,2025,3300110660_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Charlestown,3301911380,2025,3301911380_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Chatham,3300311780,2020,3300311780_2020.pdf,no standard DRA form found (name-only summary or city GASB format)
Chesterfield,3300512260,2025,3300512260_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Claremont,3301912900,2021,3301912900_2021.pdf,no standard DRA form found (name-only summary or city GASB format)
Clarksville,3300713220,2025,3300713220_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Colebrook,3300713780,2024,3300713780_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Columbia,3300713940,2024,3300713940_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Concord,3301314200,2025,3301314200_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Cornish,3301915060,2024,3301915060_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Danbury,3301316980,2025,3301316980_2025.pdf,text-form
Deerfield,3301517460,2024,3301517460_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Deering,3301117780,2025,3301117780_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Derry,3301517940,2025,3301517940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Dorchester,3300918740,2025,3300918740_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Dover,3301718820,2024,3301718820_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Dublin,3300519140,2025,3300519140_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Dummer,3300719300,2025,3300719300_2025.pdf,text-form
Durham,3301719700,2025,3301719700_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
East Kingston,3301521380,2025,3301521380_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Easton,3300922020,2025,3300922020_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Eaton,3300323380,2025,3300323380_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Ellsworth,3300923860,2025,3300923860_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Enfield,3300924340,2024,3300924340_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Epping,3301524660,2025,3301524660_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Epsom,3301324900,2025,3301324900_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Errol,3300725140,2024,3300725140_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Fitzwilliam,3300526500,2024,3300526500_2024.pdf,text-form
Franconia,3300927300,2024,3300927300_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Franklin,3301327380,2022,3301327380_2022.pdf,no standard DRA form found (name-only summary or city GASB format)
Fremont,3301527940,2025,3301527940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Gilford,3300128740,2025,3300128740_2025.pdf,scanned-ocr
Gilmanton,3300128980,2025,3300128980_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Gorham,3300730260,2024,3300730260_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Goshen,3301930500,2025,3301930500_2025.pdf,scanned-ocr
Grafton,3300930820,2024,3300930820_2024.pdf,scanned-ocr
Grantham,3301931220,2025,3301931220_2025.pdf,scanned-ocr
Greenland,3301531700,2024,3301531700_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Greenville,3301131940,2024,3301131940_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Groton,3300932180,2025,3300932180_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Hampstead,3301532900,2025,3301532900_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Hancock,3301133700,2024,3301133700_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Hanover,3300933860,2025,3300933860_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Harrisville,3300534420,2025,3300534420_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Hebron,3300935220,2025,3300935220_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Henniker,3301335540,2025,3301335540_2025.pdf,text-form
Hill,3301335860,2025,3301335860_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Hillsborough,3301136180,2025,3301136180_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Hinsdale,3300536660,2024,3300536660_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Hollis,3301137140,2024,3301137140_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Hopkinton,3301337540,2025,3301337540_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Hudson,3301137940,2025,3301137940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Jaffrey,3300538500,2024,3300538500_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Jefferson,3300738820,2025,3300738820_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Keene,3300539300,1962,3300539300_1962.pdf,no standard DRA form found (name-only summary or city GASB format)
Kensington,3301539780,2025,3301539780_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Kingston,3301540100,2025,3301540100_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Laconia,3300140180,2023,3300140180_2023.pdf,no standard DRA form found (name-only summary or city GASB format)
Lancaster,3300740420,2025,3300740420_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Landaff,3300940660,2024,3300940660_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Langdon,3301940900,2024,3301940900_2024.pdf,text-form
Lebanon,3300941300,2022,3300941300_2022.pdf,no standard DRA form found (name-only summary or city GASB format)
Lee,3301741460,2025,3301741460_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Lincoln,3300941860,2025,3300941860_2025.pdf,scanned-ocr
Lisbon,3300942020,2025,3300942020_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Litchfield,3301142260,2024,3301142260_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Londonderry,3301543220,2024,3301543220_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
