municipality,full_value_rate_official,local_total_rate,equalization_ratio,equalized_valuation_incl_util_rr,modified_local_assessed_value,rank,vintage,source
Acworth,14.53,27.04,53.8,229696664.0,123846016.0,118,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,5.68,9.14,62.4,223771174.0,138614150.0,13,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,12.49,19.03,66.1,455216734.0,300733421.0,81,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,19.68,25.42,78.9,676949959.0,533970466.0,205,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Alstead,15.76,26.98,58.7,332574084.0,195339243.0,156,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,7.36,12.98,56.8,3948472073.0,2242305615.0,23,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,15.8,22.93,69.5,3501616483.0,2431905276.0,157,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,14.69,14.64,101.0,567078768.0,572729323.0,125,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,16.7,20.79,80.8,567112999.0,439025696.0,173,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,14.99,18.39,82.0,555767560.0,455151865.0,131,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,10.31,12.92,80.4,2001497850.0,1609208023.0,51,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,12.4,13.47,92.4,1578041137.0,1433323607.0,78,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,14.56,16.31,89.5,1209196428.0,1082374713.0,121,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,15.15,17.59,87.0,2169228848.0,1886546518.0,140,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,4.74,5.58,85.2,2451485086.0,2087845542.0,10,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,15.02,23.43,64.7,253390885.0,155121479.0,134,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,14.15,15.81,90.1,6962869576.0,6268838404.0,111,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,14.61,15.74,93.8,1602422804.0,1502021206.0,123,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,21.53,22.47,96.3,229189988.0,220703344.0,216,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,8.6,8.37,103.3,54083205.0,55110197.0,36,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,23.42,30.89,76.8,1047509060.0,755423894.0,219,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,14.09,17.18,82.5,640423392.0,526352069.0,108,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,17.48,19.26,91.1,591239475.0,530426960.0,185,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,18.24,19.78,97.9,2117663889.0,2073175398.0,193,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,15.44,15.73,98.4,466486971.0,459010544.0,146,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,15.47,25.17,61.8,1229560179.0,759912876.0,147,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,5.2,5.4,96.6,833474289.0,805161500.0,12,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,11.49,23.62,48.8,1160895587.0,565099492.0,66,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,11.11,11.16,99.7,243285522.0,242558320.0,58,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,21.41,22.61,95.8,1221827780.0,1170518417.0,214,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,1.74,2.81,60.4,20471581.0,12831740.0,2,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Campton,15.95,17.22,93.2,926006743.0,862452849.0,160,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Canaan,19.36,29.53,66.1,708052400.0,468048015.0,204,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Candia,12.36,12.86,96.9,969481746.0,939436373.0,77,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Canterbury,14.55,22.68,64.6,589665320.0,380735689.0,120,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Carroll,8.89,11.9,74.9,854248923.0,638511084.0,41,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Center Harbor,7.88,10.69,73.8,1038586902.0,766500535.0,27,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Charlestown,20.94,36.36,58.0,600867891.0,346589286.0,211,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Chatham,6.91,7.09,97.7,109880009.0,106493228.0,19,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Chester,14.95,16.36,93.1,1254413026.0,1167919043.0,130,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Chesterfield,12.55,20.24,62.3,1003301375.0,623672545.0,84,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Chichester,15.7,17.33,91.0,612850942.0,557770628.0,152,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Claremont,23.7,29.26,82.9,1532606364.0,1260251377.0,220,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Clarksville,11.64,21.71,53.9,100024752.0,50121489.0,68,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Colebrook,17.86,34.97,51.4,379708729.0,194222626.0,189,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Columbia,10.51,22.28,48.2,185101228.0,89149176.0,53,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Concord,17.05,27.69,62.4,8716671711.0,5407808354.0,179,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Conway,9.66,11.32,85.8,3782415877.0,3244190600.0,48,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Cornish,15.73,16.19,97.5,367066424.0,357444310.0,154,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Croydon,10.64,14.99,71.5,176502241.0,126226933.0,54,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dalton,12.42,15.06,83.2,187755969.0,156249297.0,79,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Danbury,14.29,22.0,65.1,280326488.0,182626497.0,114,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Danville,13.92,22.11,63.6,944161438.0,600497558.0,106,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Deerfield,15.04,24.61,61.8,1295834589.0,800809208.0,135,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Deering,15.76,28.1,56.8,438408995.0,249094612.0,156,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Derry,16.75,18.69,92.4,6256276413.0,5775178335.0,174,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,15.25,14.9,102.6,87917796.0,90135345.0,141,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,16.31,18.17,93.0,7157772360.0,6647139470.0,168,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,17.94,17.99,100.0,479366432.0,478520652.0,190,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,9.39,8.72,113.7,163316758.0,185503822.0,46,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,14.79,26.38,56.4,760530241.0,426297249.0,126,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,15.58,20.33,77.6,2489181140.0,1882902391.0,149,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,16.26,16.13,101.3,614763921.0,622748864.0,167,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,7.66,13.91,55.2,141848155.0,78078765.0,25,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,8.44,12.81,65.9,223792984.0,147574711.0,33,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,16.58,27.52,60.5,360747113.0,218220842.0,171,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,8.46,15.21,55.7,36638939.0,20177094.0,34,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,15.0,16.91,92.7,1158550240.0,1074048992.0,132,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,15.08,25.23,60.2,1756680313.0,1043374996.0,139,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,14.16,26.64,53.4,983168401.0,524294606.0,112,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,7.81,9.22,85.6,166806731.0,140846397.0,26,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,15.75,17.79,93.7,3929989978.0,3680184775.0,155,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,14.0,14.88,96.8,1097961021.0,1060890628.0,107,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,16.13,18.27,89.4,563621919.0,503820581.0,164,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,16.07,16.06,100.3,409631401.0,410856706.0,163,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,9.16,15.98,57.4,753148979.0,431793949.0,45,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,13.18,17.15,78.8,1477866097.0,1162256462.0,92,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,7.19,7.18,100.3,1180099390.0,1183636840.0,21,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,15.75,26.37,60.0,945984871.0,567613298.0,155,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,9.1,11.25,81.0,4372112622.0,3535682840.0,43,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,14.88,14.74,101.2,1048342023.0,1060799201.0,129,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,14.54,14.54,100.8,137636168.0,138733135.0,119,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,17.42,20.44,86.2,3214362283.0,2766513000.0,184,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,21.4,28.29,76.4,512725453.0,386895955.0,213,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,12.56,23.32,54.0,157962507.0,85329277.0,85,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,16.86,30.6,55.3,258902441.0,143280266.0,176,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,14.32,19.61,73.2,1049072054.0,767953252.0,115,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Green's Grant,4.02,6.69,60.4,15273703.0,9155890.0,7,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Greenfield,22.1,22.25,99.8,329484428.0,319523745.0,218,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Greenland,11.06,12.99,85.6,1656203552.0,1417775500.0,57,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Greenville,15.07,16.73,90.4,255566065.0,228384322.0,138,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Groton,6.54,9.69,68.7,281608174.0,110511069.0,18,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hale's Location,1.94,3.53,55.2,151701278.0,83709800.0,3,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hampstead,17.08,18.54,93.1,2257818987.0,2099742709.0,180,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hampton,11.22,12.32,91.9,6659861442.0,6120420200.0,61,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hampton Falls,12.79,14.32,89.7,981522586.0,880240835.0,88,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hancock,14.84,25.11,59.5,513028888.0,303610865.0,128,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
