municipality,entity_type,municipal_rate,county_rate,local_ed_rate,state_ed_rate,total_rate,equalization_ratio_pct,equalized_rate_status,equalized_rate_estimate,equalized_rate_estimate_rigorous,estimate_method,net_assessed_valuation,net_tax_commitment,equalized_valuation,source_rates,source_ratio,source_county,retrieved,vintage
Acworth,town,4.87,2.06,8.19,0.94,16.06,99.46,ESTIMATE (DRA 2025 official not yet published),15.97,15.86,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",219398770,3498120,220589956,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Albany,town,0.29,0.69,4.95,1.06,6.99,99.6,ESTIMATE (DRA 2025 official not yet published),6.96,6.87,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",232100028,1601268,233032157,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Alexandria,town,6.43,1.51,10.44,1.49,19.87,61.32,ESTIMATE (DRA 2025 official not yet published),12.18,12.06,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",302996738,5960414,494123839,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Allenstown,town,7.61,1.96,14.09,1.22,24.88,77.48,ESTIMATE (DRA 2025 official not yet published),19.28,18.95,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",532309491,13022561,687028254,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Alstead,town,5.19,2.28,10.17,1.08,18.72,91.09,ESTIMATE (DRA 2025 official not yet published),17.05,16.93,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",306675101,5701433,336672633,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Alton,town,4.09,1.51,6.04,1.86,13.5,57,ESTIMATE (DRA 2025 official not yet published),7.7,7.59,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",2256966420,30040220,3959590211,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Amherst,town,4.92,1.33,16.24,1.49,23.98,66.24,ESTIMATE (DRA 2025 official not yet published),15.88,15.73,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",2442704506,57989291,3687657769,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Andover,town,3.59,1.5,8.58,0.98,14.65,93.29,ESTIMATE (DRA 2025 official not yet published),13.67,13.54,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",585206503,8491283,627298213,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Antrim,town,7.83,1.2,12.89,1.19,23.11,68.46,ESTIMATE (DRA 2025 official not yet published),15.82,15.66,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",437450779,10005029,638987407,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Ashland,town,6.89,1.23,9.94,1.13,19.19,73.22,ESTIMATE (DRA 2025 official not yet published),14.05,13.87,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",454195429,8601214,620316073,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
