district_id,year,enrollment,teacher_fte,student_teacher_ratio
9,2022,337.0,32.8,10.3
15,2022,369.0,41.0,9.0
17,2022,1282.0,91.2,14.1
19,2022,210.0,22.3,9.4
23,2022,166.0,14.2,11.7
29,2022,629.0,46.5,13.5
31,2022,469.0,36.0,13.0
33,2022,923.0,71.0,13.0
35,2022,154.0,20.6,7.5
39,2022,65.0,10.0,6.5
41,2022,4169.0,309.8,13.5
51,2022,1050.0,97.0,10.8
53,2022,130.0,19.0,6.8
57,2022,1670.0,128.4,13.0
63,2022,277.0,25.0,11.1
71,2022,571.0,47.7,12.0
75,2022,291.0,29.0,10.0
79,2022,275.0,25.0,11.0
93,2022,465.0,46.6,10.0
95,2022,273.0,25.8,10.6
99,2022,199.0,19.8,10.1
101,2022,1622.0,112.0,14.5
105,2022,310.0,5.0,62.0
111,2022,4011.0,320.2,12.5
112,2022,2000.0,199.3,10.0
113,2022,1546.0,155.2,10.0
115,2022,108.0,12.0,9.0
117,2022,24.0,2.7,8.9
127,2022,482.0,42.8,11.3
131,2022,3008.0,246.4,12.2
141,2022,3757.0,272.7,13.8
142,2022,1037.0,97.2,10.7
149,2022,236.0,18.8,12.6
153,2022,136.0,10.0,13.6
165,2022,845.0,75.0,11.3
167,2022,379.0,34.8,10.9
171,2022,8.0,1.7,4.7
172,2022,2475.0,202.0,12.3
173,2022,817.0,47.0,17.4
174,2022,1377.0,136.0,10.1
175,2022,751.0,89.5,8.4
185,2022,899.0,83.8,10.7
187,2022,36.0,5.0,7.2
189,2022,362.0,41.0,8.8
191,2022,1125.0,102.0,11.0
195,2022,364.0,34.0,10.7
199,2022,2692.0,224.0,12.0
203,2022,393.0,37.0,10.6
208,2022,2083.0,214.3,9.7
211,2022,256.0,18.6,13.8
215,2022,390.0,40.0,9.8
223,2022,771.0,70.3,11.0
225,2022,922.0,78.0,11.8
227,2022,182.0,23.0,7.9
233,2022,497.0,46.6,10.7
235,2022,54.0,6.0,9.0
238,2022,631.0,66.6,9.5
245,2022,379.0,36.5,10.4
247,2022,43.0,6.8,6.3
251,2022,1012.0,95.0,10.7
255,2022,505.0,54.5,9.3
257,2022,144.0,18.6,7.7
259,2022,605.0,48.5,12.5
260,2022,1192.0,100.2,11.9
261,2022,1203.0,93.9,12.8
263,2022,891.0,81.4,10.9
267,2022,2971.0,241.0,12.3
269,2022,916.0,100.4,9.1
271,2022,44.0,5.8,7.6
274,2022,1220.0,122.0,10.0
275,2022,579.0,61.8,9.4
276,2022,1684.0,169.4,9.9
279,2022,3018.0,259.5,11.6
281,2022,128.0,12.0,10.7
285,2022,1765.0,174.0,10.1
288,2022,92.0,8.1,11.4
291,2022,13.0,2.0,6.5
295,2022,1588.0,156.4,10.2
299,2022,112.0,11.9,9.4
305,2022,270.0,40.2,6.7
306,2022,301.0,36.3,8.3
315,2022,1188.0,95.3,12.5
317,2022,657.0,73.0,9.0
319,2022,4033.0,351.6,11.5
327,2022,198.0,23.4,8.5
333,2022,130.0,14.9,8.7
335,2022,12100.0,988.2,12.2
339,2022,146.0,15.1,9.7
341,2022,45.0,4.3,10.5
342,2022,904.0,77.5,11.7
343,2022,1013.0,107.0,9.5
345,2022,84.0,7.6,11.1
351,2022,3497.0,288.8,12.1
352,2022,2174.0,191.4,11.4
353,2022,144.0,13.5,10.7
355,2022,95.0,9.8,9.7
357,2022,2120.0,173.0,12.3
359,2022,494.0,41.6,11.9
363,2022,1547.0,132.2,11.7
365,2022,82.0,10.8,7.6
367,2022,216.0,20.8,10.4
369,2022,455.0,57.2,8.0
371,2022,9828.0,855.0,11.5
375,2022,61.0,6.9,8.8
377,2022,475.0,35.0,13.6
381,2022,26.0,4.1,6.3
387,2022,116.0,9.0,12.9
388,2022,1150.0,97.1,11.8
