district_id,year,function_code,function_name,amount,pct
725,2013,1100,Regular Education,1175039.0,52.7
725,2013,1200,Special Programs,0.0,0.0
725,2013,1300,Vocational Programs,0.0,0.0
725,2013,1400,Other Instructional Programs,11722.0,0.5
725,2013,2100,Student Support Services,91423.0,4.1
725,2013,2200,Instructional Staff Support,0.0,0.0
725,2013,2300&2800,Genral Administration & Business,27315.0,1.2
725,2013,2400,School Administration,156930.0,7.0
725,2013,2500,Business Services,57403.0,2.6
725,2013,2600,Plant Operations,715792.0,32.1
725,2013,2700,Transportation,0.0,0.0
725,2013,2900,Other Support Services,0.0,0.0
725,2013,1500,Non-public Programs,0.0,0.0
725,2013,"1600-1800,2750",Community Programs,0.0,0.0
725,2013,5120,Bond Interest,2050.0,0.1
725,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
725,2013,3100,Food Service,-7336.610000000001,-0.3
725,2013,4000,Facility Construction,0.0,
725,2013,5100,Bonds & Notes Principal Repayment,0.0,
5,2013,1100,Regular Education,1128872.0,86.6
5,2013,1200,Special Programs,37303.0,2.9
5,2013,1300,Vocational Programs,0.0,0.0
5,2013,1400,Other Instructional Programs,0.0,0.0
5,2013,2100,Student Support Services,8620.0,0.7
5,2013,2200,Instructional Staff Support,0.0,0.0
5,2013,2300&2800,Genral Administration & Business,27540.0,2.1
5,2013,2400,School Administration,0.0,0.0
5,2013,2500,Business Services,0.0,0.0
5,2013,2600,Plant Operations,0.0,0.0
5,2013,2700,Transportation,100988.0,7.7
5,2013,2900,Other Support Services,0.0,0.0
5,2013,1500,Non-public Programs,0.0,0.0
5,2013,"1600-1800,2750",Community Programs,0.0,0.0
5,2013,5120,Bond Interest,0.0,0.0
5,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
5,2013,3100,Food Service,0.0,0.0
5,2013,4000,Facility Construction,0.0,
5,2013,5100,Bonds & Notes Principal Repayment,0.0,
9,2013,1100,Regular Education,4385498.0,47.9
9,2013,1200,Special Programs,2007931.0,21.9
9,2013,1300,Vocational Programs,0.0,0.0
9,2013,1400,Other Instructional Programs,38389.0,0.4
9,2013,2100,Student Support Services,906585.0,9.9
9,2013,2200,Instructional Staff Support,202605.0,2.2
9,2013,2300&2800,Genral Administration & Business,200608.0,2.2
9,2013,2400,School Administration,424084.0,4.6
9,2013,2500,Business Services,0.0,0.0
9,2013,2600,Plant Operations,426100.0,4.7
9,2013,2700,Transportation,390202.0,4.3
9,2013,2900,Other Support Services,0.0,0.0
9,2013,1500,Non-public Programs,0.0,0.0
9,2013,"1600-1800,2750",Community Programs,0.0,0.0
9,2013,5120,Bond Interest,0.0,0.0
9,2013,5310+5390,Charter Schools/Other Agencies,49846.98,0.5
9,2013,3100,Food Service,128462.29999999999,1.4
9,2013,4000,Facility Construction,0.0,
9,2013,5100,Bonds & Notes Principal Repayment,0.0,
15,2013,1100,Regular Education,7076186.0,58.5
15,2013,1200,Special Programs,2042166.0,16.9
15,2013,1300,Vocational Programs,0.0,0.0
15,2013,1400,Other Instructional Programs,71533.0,0.6
15,2013,2100,Student Support Services,486820.0,4.0
15,2013,2200,Instructional Staff Support,202515.0,1.7
15,2013,2300&2800,Genral Administration & Business,249363.0,2.1
15,2013,2400,School Administration,357192.0,3.0
15,2013,2500,Business Services,112748.0,0.9
15,2013,2600,Plant Operations,832585.0,6.9
15,2013,2700,Transportation,512570.0,4.2
15,2013,2900,Other Support Services,0.0,0.0
15,2013,1500,Non-public Programs,0.0,0.0
15,2013,"1600-1800,2750",Community Programs,0.0,0.0
15,2013,5120,Bond Interest,23592.0,0.2
15,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
15,2013,3100,Food Service,121671.54,1.0
15,2013,4000,Facility Construction,22000.0,
15,2013,5100,Bonds & Notes Principal Repayment,963000.0,
17,2013,1100,Regular Education,11400592.0,48.9
17,2013,1200,Special Programs,5219691.0,22.4
17,2013,1300,Vocational Programs,0.0,0.0
17,2013,1400,Other Instructional Programs,89517.0,0.4
17,2013,2100,Student Support Services,1054779.0,4.5
17,2013,2200,Instructional Staff Support,454237.0,1.9
17,2013,2300&2800,Genral Administration & Business,1519273.0,6.5
17,2013,2400,School Administration,1208629.0,5.2
17,2013,2500,Business Services,505.0,0.0
17,2013,2600,Plant Operations,1356907.0,5.8
17,2013,2700,Transportation,670463.0,2.9
17,2013,2900,Other Support Services,0.0,0.0
17,2013,1500,Non-public Programs,0.0,0.0
17,2013,"1600-1800,2750",Community Programs,0.0,0.0
17,2013,5120,Bond Interest,204451.0,0.9
17,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
17,2013,3100,Food Service,132591.26,0.6
17,2013,4000,Facility Construction,14642.0,
17,2013,5100,Bonds & Notes Principal Repayment,397000.0,
19,2013,1100,Regular Education,2318211.0,57.7
19,2013,1200,Special Programs,516854.0,12.9
19,2013,1300,Vocational Programs,0.0,0.0
19,2013,1400,Other Instructional Programs,18096.0,0.5
19,2013,2100,Student Support Services,211538.0,5.3
19,2013,2200,Instructional Staff Support,45464.0,1.1
19,2013,2300&2800,Genral Administration & Business,117268.0,2.9
19,2013,2400,School Administration,166277.0,4.1
19,2013,2500,Business Services,2271.0,0.1
19,2013,2600,Plant Operations,242217.0,6.0
19,2013,2700,Transportation,310604.0,7.7
19,2013,2900,Other Support Services,0.0,0.0
19,2013,1500,Non-public Programs,0.0,0.0
19,2013,"1600-1800,2750",Community Programs,0.0,0.0
19,2013,5120,Bond Interest,0.0,0.0
19,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
19,2013,3100,Food Service,70515.54000000001,1.8
19,2013,4000,Facility Construction,0.0,
19,2013,5100,Bonds & Notes Principal Repayment,0.0,
