district_id,year,cpp_elementary,cpp_middle,cpp_high,cpp_total
5,2025,,,,
9,2025,25289.82,,,25289.82
15,2025,27428.5,,,27428.5
17,2025,23780.74,24013.63,,23894.05
19,2025,23659.85,,,23659.85
23,2025,27494.99,,,27494.99
29,2025,14653.36,,,14653.36
31,2025,19493.48,,,19493.48
33,2025,20188.67,20464.28,,20308.68
35,2025,31530.43,,,31530.43
39,2025,35898.31,,,35898.31
41,2025,19504.55,20390.06,19494.2,19650.63
47,2025,,,,
51,2025,25834.28,19251.43,25800.82,24101.13
53,2025,25103.28,,,25103.28
57,2025,18102.42,18055.85,20290.93,18864.23
63,2025,23899.45,,,23899.45
71,2025,19967.44,,,19967.44
75,2025,29613.1,,,29613.1
79,2025,22249.57,,,22249.57
91,2025,,,,
93,2025,19221.02,,,19221.02
95,2025,23686.79,,,23686.79
99,2025,25210.44,,,25210.44
101,2025,26801.94,24026.02,26240.76,26012.84
103,2025,,,,
105,2025,22735.31,,28086.85,24557.25
107,2025,,,,
111,2025,26602.65,24301.0,21953.89,24351.28
112,2025,29024.36,26493.89,25114.51,26979.4
113,2025,27870.86,25518.71,25893.88,26469.64
114,2025,,,,
115,2025,29774.36,,,29774.36
117,2025,32620.85,,,32620.85
127,2025,22622.28,,,22622.28
131,2025,23406.09,19211.95,,21491.88
141,2025,21632.2,17718.81,18486.79,19315.34
142,2025,27496.46,,27545.15,27527.64
147,2025,,,,
149,2025,19675.56,,,19675.56
153,2025,31816.92,,,31816.92
159,2025,,,,
162,2025,,,,
165,2025,21785.88,25192.85,26879.7,23812.22
167,2025,25297.55,,,25297.55
171,2025,40487.22,,,40487.22
172,2025,,26552.57,22566.02,24141.01
173,2025,29439.94,,,29439.94
174,2025,25312.06,,21969.75,24159.1
175,2025,24745.82,,25250.65,24893.02
185,2025,24258.47,,20772.53,23098.35
187,2025,41267.88,,,41267.88
189,2025,22802.06,,,22802.06
191,2025,26611.31,27256.03,24551.81,25908.38
195,2025,22975.33,,,22975.33
199,2025,19596.39,16106.44,17913.48,17811.49
203,2025,28545.54,27254.13,24123.12,26560.74
204,2025,,,,
208,2025,27687.15,26134.78,24521.9,26293.36
211,2025,25958.78,,,25958.78
215,2025,24874.9,,,24874.9
222,2025,,,,
223,2025,29292.42,29472.45,,29374.87
225,2025,28051.98,,,28051.98
227,2025,35941.27,,,35941.27
233,2025,25559.69,,,25559.69
235,2025,36960.67,,,36960.67
236,2025,,,,
238,2025,26726.78,20595.06,24351.21,23509.77
245,2025,21870.55,,,21870.55
247,2025,24337.74,,,24337.74
251,2025,25719.94,25410.0,27662.77,26314.28
255,2025,23855.45,24502.9,28336.33,25363.6
257,2025,30093.85,,,30093.85
259,2025,23370.58,,,23370.58
260,2025,,21441.05,24457.95,23443.62
261,2025,17396.79,18744.59,,17848.74
263,2025,25369.62,22648.03,22601.43,24040.43
267,2025,19318.06,19934.07,20030.58,19704.38
269,2025,33390.72,,33005.18,33271.8
271,2025,50323.71,,,50323.71
274,2025,24936.15,22667.74,21178.85,23397.32
275,2025,,,22488.35,22488.35
276,2025,28066.96,26176.33,28411.83,27691.58
279,2025,23639.64,18969.67,18409.02,20358.67
281,2025,28843.72,,,28843.72
285,2025,24600.28,21438.65,22749.75,23275.93
288,2025,31788.34,,,31788.34
291,2025,22973.96,,,22973.96
295,2025,32839.21,27324.15,27211.8,29144.42
305,2025,38005.97,33345.62,35612.68,36078.45
306,2025,28397.06,17581.72,26406.3,24509.91
315,2025,21177.37,19770.08,22576.4,21147.31
317,2025,27229.56,28985.58,34316.36,29715.28
319,2025,23066.97,19122.88,20365.41,21196.9
327,2025,33556.73,,,33556.73
333,2025,35063.0,,,35063.0
335,2025,19101.98,16868.5,17693.44,18020.9
339,2025,24942.06,,,24942.06
341,2025,24421.54,,,24421.54
342,2025,18578.92,20022.67,21735.4,19935.88
343,2025,26108.08,,29305.37,27044.97
351,2025,23298.23,24454.34,24562.85,23849.2
352,2025,20311.98,20157.79,18753.2,19767.02
353,2025,19699.6,,,19699.6
355,2025,22516.34,,,22516.34
357,2025,20470.58,23724.01,23074.16,22084.79
359,2025,24057.03,23931.89,18730.89,22365.81
363,2025,23166.73,18834.36,20692.8,21795.23
365,2025,38114.64,,,38114.64
367,2025,18635.77,,,18635.77
369,2025,33293.86,37186.45,33838.31,34375.21
371,2025,19175.98,18994.52,16933.53,18376.45
375,2025,26634.28,,,26634.28
377,2025,20442.84,,,20442.84
381,2025,36955.9,,,36955.9
387,2025,27660.61,,,27660.61
388,2025,24542.08,20179.02,22331.95,22721.85
391,2025,40353.62,,,40353.62
399,2025,23199.5,,26534.83,24105.65
401,2025,27919.83,31269.65,29667.95,29290.38
405,2025,34105.89,,,34105.89
407,2025,22887.27,,24111.56,23340.3
411,2025,22632.64,,,22632.64
413,2025,18527.62,,,18527.62
423,2025,24061.79,24148.47,23632.0,23921.61
425,2025,18228.66,21881.98,21933.7,20212.97
427,2025,21630.58,,19024.13,20240.78
428,2025,,,21937.79,21937.79
435,2025,27237.37,,,27237.37
437,2025,38181.36,,44378.38,40610.32
439,2025,28199.29,21874.33,19729.69,24039.61
441,2025,32881.91,,,32881.91
447,2025,26555.94,,,26555.94
449,2025,30744.67,27644.79,24772.45,27609.74
450,2025,,27275.02,31457.71,29875.77
453,2025,23672.68,22037.73,23119.71,22888.48
461,2025,21269.42,16847.7,18164.42,19176.58
463,2025,24597.91,,,24597.91
467,2025,34299.21,,,34299.21
471,2025,32559.51,,,32559.51
473,2025,18734.87,20885.84,20426.77,19752.81
476,2025,30827.91,23687.83,25047.89,27191.73
485,2025,30121.77,,,30121.77
486,2025,23666.37,22079.85,23239.83,23031.56
491,2025,22707.78,21140.2,21533.33,21989.71
493,2025,,,25841.36,25841.36
495,2025,31389.1,,,31389.1
499,2025,22100.2,,,22100.2
501,2025,33691.72,,,33691.72
503,2025,34739.04,,,34739.04
507,2025,20836.96,,,20836.96
509,2025,36687.6,,,36687.6
511,2025,29303.14,,,29303.14
515,2025,28588.47,33672.9,33558.55,31464.9
525,2025,37750.65,,,37750.65
531,2025,33346.42,,,33346.42
534,2025,22427.64,22959.19,24814.2,23256.12
539,2025,39750.64,,,39750.64
543,2025,20641.68,,,20641.68
549,2025,36390.72,,,36390.72
551,2025,29594.46,,,29594.46
