district_id,year,source_code,source_name,amount,pct
725,2025,1100,Local Property Tax,0.0,0.0
725,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",520027.0,7.6
725,2025,3111&3112&3119,State Foundation/Adequacy Aid,6090146.0,88.4
725,2025,3120-3900,Other State Aid,57082.0,0.8
725,2025,4000,Federal Aid,218927.0,3.2
725,2025,5300-5600,Other,0.0,0.0
725,2025,5110&5140,Sales of Bonds & Notes,0.0,
5,2025,1100,Local Property Tax,582846.0,40.4
5,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",10354.75,0.7
5,2025,3111&3112&3119,State Foundation/Adequacy Aid,749762.0,51.9
5,2025,3120-3900,Other State Aid,4200.0,0.3
5,2025,4000,Federal Aid,96696.0,6.7
5,2025,5300-5600,Other,0.0,0.0
5,2025,5110&5140,Sales of Bonds & Notes,0.0,
9,2025,1100,Local Property Tax,7516245.0,29.6
9,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",7963477.449999999,31.3
9,2025,3111&3112&3119,State Foundation/Adequacy Aid,5122652.0,20.2
9,2025,3120-3900,Other State Aid,3929512.0,15.5
9,2025,4000,Federal Aid,876523.0,3.4
9,2025,5300-5600,Other,0.0,0.0
9,2025,5110&5140,Sales of Bonds & Notes,0.0,
15,2025,1100,Local Property Tax,13092591.0,71.7
15,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",292455.72000000067,1.6
15,2025,3111&3112&3119,State Foundation/Adequacy Aid,4256913.0,23.3
15,2025,3120-3900,Other State Aid,23746.0,0.1
15,2025,4000,Federal Aid,598837.0,3.3
15,2025,5300-5600,Other,0.0,0.0
15,2025,5110&5140,Sales of Bonds & Notes,0.0,
17,2025,1100,Local Property Tax,24209077.0,71.8
17,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",2441784.0700000003,7.2
17,2025,3111&3112&3119,State Foundation/Adequacy Aid,5757899.0,17.1
17,2025,3120-3900,Other State Aid,462747.0,1.4
17,2025,4000,Federal Aid,846061.0,2.5
17,2025,5300-5600,Other,0.0,0.0
17,2025,5110&5140,Sales of Bonds & Notes,0.0,
19,2025,1100,Local Property Tax,4724462.0,67.8
19,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",93889.02000000048,1.3
19,2025,3111&3112&3119,State Foundation/Adequacy Aid,1625187.0,23.3
19,2025,3120-3900,Other State Aid,84725.0,1.2
19,2025,4000,Federal Aid,439193.0,6.3
19,2025,5300-5600,Other,0.0,0.0
19,2025,5110&5140,Sales of Bonds & Notes,0.0,
702,2025,1100,Local Property Tax,0.0,0.0
702,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",370328.0,26.8
702,2025,3111&3112&3119,State Foundation/Adequacy Aid,900697.0,65.2
702,2025,3120-3900,Other State Aid,95444.0,6.9
702,2025,4000,Federal Aid,14627.0,1.1
702,2025,5300-5600,Other,0.0,0.0
702,2025,5110&5140,Sales of Bonds & Notes,0.0,
23,2025,1100,Local Property Tax,3213681.0,70.4
23,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",10842.580000000075,0.2
23,2025,3111&3112&3119,State Foundation/Adequacy Aid,987472.0,21.6
23,2025,3120-3900,Other State Aid,17549.0,0.4
23,2025,4000,Federal Aid,332809.0,7.3
23,2025,5300-5600,Other,0.0,0.0
23,2025,5110&5140,Sales of Bonds & Notes,0.0,
29,2025,1100,Local Property Tax,13380798.0,73.8
29,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",70071.93999999948,0.4
29,2025,3111&3112&3119,State Foundation/Adequacy Aid,4216402.0,23.3
29,2025,3120-3900,Other State Aid,118275.0,0.7
29,2025,4000,Federal Aid,343059.0,1.9
29,2025,5300-5600,Other,0.0,0.0
29,2025,5110&5140,Sales of Bonds & Notes,0.0,
31,2025,1100,Local Property Tax,11271150.0,41.4
31,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",203032.04000000097,0.7
31,2025,3111&3112&3119,State Foundation/Adequacy Aid,4288056.0,15.8
31,2025,3120-3900,Other State Aid,10315320.0,37.9
31,2025,4000,Federal Aid,1147881.0,4.2
31,2025,5300-5600,Other,0.0,0.0
31,2025,5110&5140,Sales of Bonds & Notes,14313939.0,
33,2025,1100,Local Property Tax,21831167.0,73.1
33,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",198707.8900000006,0.7
33,2025,3111&3112&3119,State Foundation/Adequacy Aid,7039239.0,23.6
33,2025,3120-3900,Other State Aid,76680.0,0.3
33,2025,4000,Federal Aid,714369.0,2.4
33,2025,5300-5600,Other,0.0,0.0
33,2025,5110&5140,Sales of Bonds & Notes,0.0,
35,2025,1100,Local Property Tax,5203504.0,62.4
35,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",292051.2300000014,3.5
35,2025,3111&3112&3119,State Foundation/Adequacy Aid,2467113.0,29.6
35,2025,3120-3900,Other State Aid,87812.0,1.1
35,2025,4000,Federal Aid,294204.0,3.5
35,2025,5300-5600,Other,0.0,0.0
35,2025,5110&5140,Sales of Bonds & Notes,0.0,
39,2025,1100,Local Property Tax,2170620.0,67.5
39,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",32841.0,1.0
39,2025,3111&3112&3119,State Foundation/Adequacy Aid,875809.0,27.2
39,2025,3120-3900,Other State Aid,14363.0,0.4
39,2025,4000,Federal Aid,121610.0,3.8
39,2025,5300-5600,Other,0.0,0.0
39,2025,5110&5140,Sales of Bonds & Notes,0.0,
