municipality,vintage,entity_type,modified_local_assessed_value,equalized_valuation_incl_util_rr,local_total_rate,equalization_ratio,full_value_rate_official,rank,source
Acworth,2019,town,98628456.0,101467749.0,29.07,97.2,28.15,213,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Acworth,2020,town,100262437.0,109018300.0,29.37,91.9,26.9,213,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Acworth,2021,town,120657600.0,158509549.0,22.93,75.9,17.4,138,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Acworth,2022,town,122182240.0,164192008.0,25.81,74.4,19.18,207,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Acworth,2023,town,123309660.0,186032007.0,25.33,66.2,16.73,171,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Acworth,2024,town,123846016.0,229696664.0,27.04,53.8,14.53,118,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,2019,town,115818686.0,123473485.0,13.97,94.8,13.04,32,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,2020,town,130292821.0,131710281.0,12.05,99.9,11.86,29,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,2021,town,132348013.0,168991487.0,12.4,79.2,9.66,32,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,2022,town,134348065.0,191650688.0,10.9,70.8,7.7,28,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,2023,town,136433589.0,219844778.0,10.08,62.6,6.29,13,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Albany,2024,town,138614150.0,223771174.0,9.14,62.4,5.68,13,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,2019,town,198167051.0,239230769.0,24.04,82.9,19.64,103,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,2020,town,199093977.0,260368339.0,27.92,76.5,21.13,145,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,2021,town,289665358.0,299526883.0,18.82,96.8,18.08,159,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,2022,town,297361725.0,369943352.0,18.37,80.4,14.67,126,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,2023,town,299368820.0,406991121.0,18.65,73.6,13.62,91,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Alexandria,2024,town,300733421.0,455216734.0,19.03,66.1,12.49,81,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,2019,town,297490196.0,336900978.0,31.1,88.4,27.21,206,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,2020,town,301454687.0,373946063.0,29.3,80.7,23.42,181,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,2021,town,302228030.0,461588272.0,31.5,65.5,20.46,200,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,2022,town,517977121.0,531993149.0,19.5,97.4,18.77,203,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,2023,town,533191437.0,581007243.0,21.2,91.8,19.1,207,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Allenstown,2024,town,533970466.0,676949959.0,25.42,78.9,19.68,205,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Alstead,2019,town,163278593.0,187072434.0,27.85,87.3,24.24,175,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Alstead,2020,town,193699509.0,195250293.0,24.42,99.2,24.15,192,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Alstead,2021,town,194697531.0,220312712.0,23.25,88.3,20.46,200,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Alstead,2022,town,194502914.0,291524015.0,24.64,66.6,16.38,168,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
