geoid,name,ms535_status,ms535_kind,ms535_year,ms535_source
3301900260,Acworth,needs_review,appropriation,2025,text-form
3300300420,Albany,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300900580,Alexandria,needs_review,appropriation,2025,scanned-ocr
3301300660,Allenstown,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300500820,Alstead,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300101060,Alton,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301101300,Amherst,loaded,appropriation,2025,UNH Amherst 2025 annual report — appropriation (text-form)
3301301460,Andover,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301101700,Antrim,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300902020,Ashland,loaded,actual,2025,UNH Ashland 2025 annual report — actual (scanned-ocr)
3301502340,Atkinson,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301502820,Auburn,loaded,appropriation,2025,UNH Auburn 2025 annual report — appropriation (text-form)
3300103220,Barnstead,loaded,appropriation,2024,UNH Barnstead 2024 annual report — appropriation (text-form)
3301703460,Barrington,loaded,appropriation,2025,UNH Barrington 2025 annual report — appropriation (text-form)
3300303700,Bartlett,loaded,appropriation,2024,UNH Bartlett 2024 annual report — appropriation (text-form)
3300903940,Bath,loaded,appropriation,2025,UNH Bath 2025 annual report — appropriation (text-form)
3301104500,Bedford,needs_review,,2020,no standard DRA form found (name-only summary or city GASB format)
3300104740,Belmont,loaded,appropriation,2025,UNH Belmont 2025 annual report — appropriation (text-form)
3301104900,Bennington,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300905060,Benton,needs_review,appropriation,2024,text-form
3300705140,Berlin,needs_review,,2021,no standard DRA form found (name-only summary or city GASB format)
3300905460,Bethlehem,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301306260,Boscawen,loaded,appropriation,2025,UNH Boscawen 2025 annual report — appropriation (text-form)
3301306500,Bow,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301306980,Bradford,loaded,appropriation,2024,UNH Bradford 2024 annual report — appropriation (text-form)
3301507220,Brentwood,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300907540,Bridgewater,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300907700,Bristol,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300307940,Brookfield,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301108100,Brookline,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300908660,Campton,loaded,appropriation,2025,UNH Campton 2025 annual report — appropriation (text-form)
3300908980,Canaan,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301509300,Candia,loaded,appropriation,2025,UNH Candia 2025 annual report — appropriation (text-form)
3301309860,Canterbury,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300710100,Carroll,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300110660,Center Harbor,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301911380,Charlestown,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300311780,Chatham,needs_review,,2020,no standard DRA form found (name-only summary or city GASB format)
3301512100,Chester,loaded,appropriation,2025,UNH Chester 2025 annual report — appropriation (text-form)
3300512260,Chesterfield,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301312420,Chichester,loaded,appropriation,2024,UNH Chichester 2024 annual report — appropriation (text-form)
3301912900,Claremont,needs_review,,2021,no standard DRA form found (name-only summary or city GASB format)
3300713220,Clarksville,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300713780,Colebrook,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300713940,Columbia,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301314200,Concord,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300314660,Conway,loaded,appropriation,2025,UNH Conway 2025 annual report — appropriation (text-form)
3301915060,Cornish,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301916340,Croydon,loaded,appropriation,2024,UNH Croydon 2024 annual report — appropriation (text-form)
3300716820,Dalton,loaded,appropriation,2024,UNH Dalton 2024 annual report — appropriation (text-form)
3301316980,Danbury,needs_review,appropriation,2025,text-form
