geoid,year,function_code,department,category,amount,kind,source
3300103220,2024,4130,EX ECUTIV E OFFICE,General Government,380498.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4140,"EL ECTION, REGISTRATION & V ITAL STATISTICS",General Government,199769.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4150,FINANCIAL ADMINISTRATION,General Government,100168.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4153,J UDICIAL & L EGAL EX PENSES,General Government,155785.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4155,PERSONNEL ADMINISTRATION,General Government,10498.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4191,PL ANNING & Z ONING,General Government,37318.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4194,GENERAL GOV ERNMENT BUIL DINGS,General Government,49097.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4195,CEMETERIES,General Government,2000.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4196,INSURANCE NOT AL L OCATED,General Government,93988.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4210,POL ICE DEPARTMENT,Public Safety,1075459.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4220,FIRE/RESCUE DEPARTMENT,Public Safety,1152961.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4240,BUIL DING INSPECTION,Public Safety,28922.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4290,EMERGENCY MANAGEMENT,Public Safety,3250.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4311,HSB ADMINISTRATION,Highways & Streets,636469.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4312,HIGHWAY S & STREETS,Highways & Streets,509100.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
3300103220,2024,4313,BRIDGES,Highways & Streets,35000.0,appropriation,UNH Barnstead 2024 annual report — appropriation (text-form)
