municipality,entity_type,geoid,state_fips,county_fips,county_name,cousub_fips,census_name,ansicode,aland_sqmi,awater_sqmi,intptlat,intptlon,match_method,source
Acworth,town,3301900260,33,019,Sullivan,00260,Acworth town,00873525,38.805,0.255,43.213923,-72.287033,name,2023_Gaz_cousubs_national.txt
Albany,town,3300300420,33,003,Carroll,00420,Albany town,00873526,75.147,0.597,43.95945,-71.274251,name,2023_Gaz_cousubs_national.txt
Alexandria,town,3300900580,33,009,Grafton,00580,Alexandria town,00873527,43.148,0.203,43.622322,-71.856277,name,2023_Gaz_cousubs_national.txt
Allenstown,town,3301300660,33,013,Merrimack,00660,Allenstown town,00873528,20.463,0.112,43.143341,-71.386106,name,2023_Gaz_cousubs_national.txt
Alstead,town,3300500820,33,005,Cheshire,00820,Alstead town,00873529,38.825,0.568,43.091742,-72.310321,name,2023_Gaz_cousubs_national.txt
Alton,town,3300101060,33,001,Belknap,01060,Alton town,00873530,63.697,19.48,43.488323,-71.240617,name,2023_Gaz_cousubs_national.txt
Amherst,town,3301101300,33,011,Hillsborough,01300,Amherst town,00873531,33.906,0.511,42.874824,-71.600533,name,2023_Gaz_cousubs_national.txt
Andover,town,3301301460,33,013,Merrimack,01460,Andover town,00873532,40.148,0.895,43.450724,-71.7906,name,2023_Gaz_cousubs_national.txt
Antrim,town,3301101700,33,011,Hillsborough,01700,Antrim town,00873533,35.695,0.818,43.050292,-71.981968,name,2023_Gaz_cousubs_national.txt
Ashland,town,3300902020,33,009,Grafton,02020,Ashland town,00873534,11.227,0.545,43.725967,-71.642579,name,2023_Gaz_cousubs_national.txt
Atkinson,town,3301502340,33,015,Rockingham,02340,Atkinson town,00873535,11.156,0.182,42.839113,-71.167192,name,2023_Gaz_cousubs_national.txt
Atkinson & Gilmanton,unincorporated,3300702420,33,007,Coos,02420,Atkinson and Gilmanton Academy grant,00871100,19.19,0.11,44.995891,-71.122281,override,2023_Gaz_cousubs_national.txt
Auburn,town,3301502820,33,015,Rockingham,02820,Auburn town,00873536,25.35,3.461,42.997059,-71.365806,name,2023_Gaz_cousubs_national.txt
Barnstead,town,3300103220,33,001,Belknap,03220,Barnstead town,00873537,43.06,1.879,43.348588,-71.256896,name,2023_Gaz_cousubs_national.txt
Barrington,town,3301703460,33,017,Strafford,03460,Barrington town,00873538,46.653,1.968,43.215566,-71.03898,name,2023_Gaz_cousubs_national.txt
Bartlett,town,3300303700,33,003,Carroll,03700,Bartlett town,00873539,74.8,0.425,44.077237,-71.221265,name,2023_Gaz_cousubs_national.txt
Bath,town,3300903940,33,009,Grafton,03940,Bath town,00873540,37.712,0.862,44.182955,-71.987011,name,2023_Gaz_cousubs_national.txt
Bean's Grant,unincorporated,3300704100,33,007,Coos,04100,Beans grant,00871459,9.661,0.,44.222683,-71.376589,name,2023_Gaz_cousubs_national.txt
Bean's Purchase,unincorporated,3300704260,33,007,Coos,04260,Beans purchase,00871460,65.194,0.105,44.289758,-71.152198,name,2023_Gaz_cousubs_national.txt
Bedford,town,3301104500,33,011,Hillsborough,04500,Bedford town,00873541,32.78,0.281,42.935584,-71.536871,name,2023_Gaz_cousubs_national.txt
Belmont,town,3300104740,33,001,Belknap,04740,Belmont town,00873542,29.943,1.94,43.474455,-71.482208,name,2023_Gaz_cousubs_national.txt
Bennington,town,3301104900,33,011,Hillsborough,04900,Bennington town,00873543,11.362,0.225,43.020284,-71.903705,name,2023_Gaz_cousubs_national.txt
Benton,town,3300905060,33,009,Grafton,05060,Benton town,00873544,48.204,0.23,44.035925,-71.846557,name,2023_Gaz_cousubs_national.txt
Berlin,city,3300705140,33,007,Coos,05140,Berlin city,00873545,61.349,0.852,44.484328,-71.277123,name,2023_Gaz_cousubs_national.txt
Bethlehem,town,3300905460,33,009,Grafton,05460,Bethlehem town,00873546,90.6,0.354,44.260435,-71.609203,name,2023_Gaz_cousubs_national.txt
Boscawen,town,3301306260,33,013,Merrimack,06260,Boscawen town,00873547,24.888,0.639,43.311717,-71.665381,name,2023_Gaz_cousubs_national.txt
Bow,town,3301306500,33,013,Merrimack,06500,Bow town,00873548,28.171,0.376,43.133177,-71.537242,name,2023_Gaz_cousubs_national.txt
Bradford,town,3301306980,33,013,Merrimack,06980,Bradford town,00873549,35.24,0.691,43.224128,-71.966175,name,2023_Gaz_cousubs_national.txt
Brentwood,town,3301507220,33,015,Rockingham,07220,Brentwood town,00873550,16.817,0.158,42.983723,-71.053998,name,2023_Gaz_cousubs_national.txt
Bridgewater,town,3300907540,33,009,Grafton,07540,Bridgewater town,00873551,21.494,0.21,43.651247,-71.686005,name,2023_Gaz_cousubs_national.txt
Bristol,town,3300907700,33,009,Grafton,07700,Bristol town,00873552,16.744,5.173,43.624415,-71.710324,name,2023_Gaz_cousubs_national.txt
Brookfield,town,3300307940,33,003,Carroll,07940,Brookfield town,00873553,22.812,0.423,43.561279,-71.093391,name,2023_Gaz_cousubs_national.txt
Brookline,town,3301108100,33,011,Hillsborough,08100,Brookline town,00873554,19.835,0.361,42.749263,-71.67567,name,2023_Gaz_cousubs_national.txt
Cambridge,unincorporated,3300708420,33,007,Coos,08420,Cambridge township,00873555,50.99,0.728,44.659301,-71.097522,base,2023_Gaz_cousubs_national.txt
Campton,town,3300908660,33,009,Grafton,08660,Campton town,00873556,51.836,0.699,43.830862,-71.64607,name,2023_Gaz_cousubs_national.txt
Canaan,town,3300908980,33,009,Grafton,08980,Canaan town,00873557,53.358,1.764,43.687687,-72.043987,name,2023_Gaz_cousubs_national.txt
Candia,town,3301509300,33,015,Rockingham,09300,Candia town,00873558,30.338,0.228,43.056895,-71.340635,name,2023_Gaz_cousubs_national.txt
Canterbury,town,3301309860,33,013,Merrimack,09860,Canterbury town,00873559,43.876,0.83,43.352567,-71.533765,name,2023_Gaz_cousubs_national.txt
Carroll,town,3300710100,33,007,Coos,10100,Carroll town,00873560,50.272,0.024,44.305266,-71.497376,name,2023_Gaz_cousubs_national.txt
Center Harbor,town,3300110660,33,001,Belknap,10660,Center Harbor town,00873561,13.265,2.978,43.702775,-71.510443,name,2023_Gaz_cousubs_national.txt
Chandler's Purchase,unincorporated,3300711220,33,007,Coos,11220,Chandlers purchase,00871663,2.126,0.,44.261058,-71.358654,name,2023_Gaz_cousubs_national.txt
Charlestown,town,3301911380,33,019,Sullivan,11380,Charlestown town,00873562,35.764,2.276,43.246631,-72.383893,name,2023_Gaz_cousubs_national.txt
