geoid,name,form_of_government,governing_body,sb2,year_incorporated,population_2020
3301145140,Manchester,Mayor–council,Mayor & city council,false,1751,115644
3301150260,Nashua,Mayor–council,Mayor & city council,false,1746,91322
3301314200,Concord,Council–manager,City council & manager,false,1733,43976
3301517940,Derry,Council–manager,Town council & manager,false,1827,34317
3301718820,Dover,Council–manager,City council & manager,false,1623,32741
3301765140,Rochester,Council–manager,City council & manager,false,1722,32492
3301566660,Salem,Council–manager,Town council & manager,false,1750,30089
3301147540,Merrimack,Council–manager,Town council & manager,false,1746,26632
3301543220,Londonderry,Town council,Town council,false,1722,25826
3301137940,Hudson,Town meeting,Select board,false,1746,25394
3301104500,Bedford,Council–manager,Town council & manager,false,1750,23322
3300539300,Keene,Mayor–council,Mayor & city council,false,1753,23047
3301562900,Portsmouth,Council–manager,City council & manager,false,1631,21956
3301129860,Goffstown,Town meeting,Select board,false,1761,18577
3300140180,Laconia,Council–manager,City council & manager,false,1855,16871
3301533060,Hampton,Town meeting,Select board,false,1639,16214
3301148020,Milford,Town meeting,Select board,false,1794,16131
3301525380,Exeter,Town meeting,Select board,false,1638,16049
3301585780,Windham,Town meeting,Select board,false,1742,15817
3301719700,Durham,Council–manager,Town council & manager,false,1732,15490
3301337300,Hooksett,Council–manager,Town council & manager,false,1822,14871
3300941300,Lebanon,Council–manager,City council & manager,false,1761,14282
3301159940,Pelham,Town meeting,Select board,false,1746,14222
3301912900,Claremont,Council–manager,City council & manager,false,1764,12949
3300933860,Hanover,Town meeting,Select board,false,1761,11870
3301769940,Somersworth,Council–manager,City council & manager,false,1754,11855
3301101300,Amherst,Town meeting,Select board,false,1760,11753
3301564020,Raymond,Town meeting,Select board & town manager,false,1764,10684
3300314660,Conway,Town meeting,Select board,false,1765,9822
3301552340,Newmarket,Council–manager,Town council & manager,false,1727,9430
3300705140,Berlin,Council–manager,City council & manager,false,1829,9425
3301703460,Barrington,Town meeting,Select board,false,1722,9326
3301179780,Weare,Town meeting,Select board,false,1764,9092
3301532900,Hampstead,Town meeting,Select board,false,1749,8998
3301327380,Franklin,Council–manager,City council & manager,false,1828,8741
3301142260,Litchfield,Town meeting,Select board,false,1734,8478
3301568260,Seabrook,Town meeting,Select board & town manager,false,1768,8401
3301137140,Hollis,Town meeting,Select board,false,1746,8342
3301306500,Bow,Town meeting,Select board & town manager,false,1727,8229
3301562500,Plaistow,Town meeting,Select board & town manager,false,1749,7830
3300128740,Gilford,Town meeting,Select board,false,1812,7699
3301574340,Stratham,Town meeting,Select board,false,1716,7669
3300104740,Belmont,Town meeting,Select board,false,1727,7314
3300575700,Swanzey,Town meeting,Select board,false,1753,7270
3301360020,Pembroke,Town meeting,Select board,false,1759,7207
3301524660,Epping,Town meeting,Select board,false,1741,7125
3301502340,Atkinson,Town meeting,Select board,false,1767,7087
3301726020,Farmington,Town meeting,Select board,false,1798,6722
3300962660,Plymouth,Town meeting,Select board,false,1763,6682
3300147140,Meredith,Town meeting,Select board & town manager,false,1768,6662
3301567620,Sandown,Town meeting,Select board,false,1756,6548
3300564580,Rindge,Town meeting,Select board & town manager,false,1768,6476
3301160580,Peterborough,Town meeting,Select board,false,1760,6418
3300386420,Wolfeboro,Town meeting,Select board & town manager,false,1770,6416
3301952580,Newport,Town meeting,Select board,false,1761,6299
3301540100,Kingston,Town meeting,Select board,false,1694,6202
3301335540,Henniker,Town meeting,Select board,false,1768,6185
3301150740,New Boston,Town meeting,Select board,false,1763,6108
3300942580,Littleton,Town meeting,Select board,false,1784,6005
3301502820,Auburn,Town meeting,Select board,false,1845,5946
3301136180,Hillsborough,Town meeting,Select board,false,1772,5939
3301337540,Hopkinton,Town meeting,Select board,false,1765,5914
3300101060,Alton,Town meeting,Select board,false,1796,5894
3301108100,Brookline,Town meeting,Select board,false,1769,5639
3301343380,Loudon,Town meeting,Select board,false,1773,5576
3301566180,Rye,Town meeting,Select board,false,1726,5543
3300538500,Jaffrey,Town meeting,Select board & town manager,false,1773,5320
3301512100,Chester,Town meeting,Select board,false,1722,5232
3301557460,Nottingham,Town meeting,Select board,false,1722,5229
3301151940,New Ipswich,Town meeting,Select board,false,1762,5204
3300378180,Wakefield,Town meeting,Select board,false,1774,5201
3300349380,Moultonborough,Town meeting,Select board,false,1777,4918
3300103220,Barnstead,Town meeting,Select board,false,1727,4915
3301354260,Northfield,Town meeting,Select board,false,1780,4872
3301517460,Deerfield,Town meeting,Select board,false,1766,4855
3301324900,Epsom,Town meeting,Select board,false,1727,4834
3301552900,Newton,Town meeting,Select board,false,1749,4820
3301911380,Charlestown,Town meeting,Select board,false,1753,4806
3301527940,Fremont,Town meeting,Select board,false,1764,4739
3301300660,Allenstown,Town meeting,Select board,false,1831,4707
3301556820,Northwood,Town meeting,Select board,false,1773,4641
3300934820,Haverhill,Town meeting,Select board & town manager,false,1763,4585
3301554580,North Hampton,Town meeting,Select board,false,1742,4538
3301741460,Lee,Town meeting,Select board,false,1766,4520
3301507220,Brentwood,Town meeting,Select board,false,1742,4490
3301748660,Milton,Town meeting,Select board,false,1802,4482
3300924340,Enfield,Town meeting,Select board,false,1761,4465
3301517140,Danville,Town meeting,Select board,false,1760,4408
3301352100,New London,Town meeting,Select board,false,1779,4400
3300358740,Ossipee,Town meeting,Select board,false,1785,4372
3301773860,Strafford,Town meeting,Select board,false,1820,4230
3300585540,Winchester,Town meeting,Select board,false,1753,4150
3301361940,Pittsfield,Town meeting,Select board,false,1782,4075
3301531700,Greenland,Town meeting,Select board,false,1721,4067
3301509300,Candia,Town meeting,Select board,false,1763,4013
3301306260,Boscawen,Town meeting,Select board,false,1760,3998
3300177060,Tilton,Town meeting,Select board,false,1869,3962
3300536660,Hinsdale,Town meeting,Select board,false,1753,3948
3300128980,Gilmanton,Town meeting,Select board,false,1727,3945
3301185220,Wilton,Town meeting,Select board,false,1762,3896
3300908980,Canaan,Town meeting,Select board,false,1761,3794
3300578420,Walpole,Town meeting,Select board,false,1752,3633
3300512260,Chesterfield,Town meeting,Select board,false,1752,3552
3301931220,Grantham,Town meeting,Select board,false,1761,3404
3300908660,Campton,Town meeting,Select board,false,1761,3343
3301975060,Sunapee,Town meeting,Select board & town manager,false,1781,3342
3300907700,Bristol,Town meeting,Select board & town manager,false,1819,3244
3300740420,Lancaster,Town meeting,Select board,false,1763,3218
3300303700,Bartlett,Town meeting,Select board,false,1790,3200
3300167300,Sanbornton,Town meeting,Select board,false,1770,3026
3301319460,Dunbarton,Town meeting,Select board,false,1765,3005
3301378580,Warner,Town meeting,Select board,false,1774,2937
3300376100,Tamworth,Town meeting,Select board,false,1766,2812
3300976740,Thornton,Town meeting,Select board,false,1763,2708
3300730260,Gorham,Town meeting,Select board,false,1836,2698
3301751220,New Durham,Town meeting,Select board,false,1762,2693
3301312420,Chichester,Town meeting,Select board,false,1727,2665
3301101700,Antrim,Town meeting,Select board,false,1777,2651
3301765540,Rollinsford,Town meeting,Select board,false,1849,2597
3301149140,Mont Vernon,Town meeting,Select board,false,1803,2584
3300345060,Madison,Town meeting,Select board,false,1852,2565
3300784420,Whitefield,Town meeting,Select board,false,1804,2490
3300905460,Bethlehem,Town meeting,Select board,false,1799,2484
3300377620,Tuftonboro,Town meeting,Select board,false,1795,2467
3301962340,Plainfield,Town meeting,Select board,false,1761,2459
3301521380,East Kingston,Town meeting,Select board,false,1738,2441
3301301460,Andover,Town meeting,Select board,false,1779,2406
3301533460,Hampton Falls,Town meeting,Select board,false,1726,2403
3301309860,Canterbury,Town meeting,Select board,false,1741,2389
3300151540,New Hampton,Town meeting,Select board,false,1777,2377
3300526500,Fitzwilliam,Town meeting,Select board,false,1773,2351
3301350900,Newbury,Town meeting,Select board,false,1778,2172
3300577380,Troy,Town meeting,Select board,false,1815,2130
3300756100,Northumberland,Town meeting,Select board,false,1779,2126
3300545460,Marlborough,Town meeting,Select board,false,1776,2096
3301539780,Kensington,Town meeting,Select board,false,1737,2095
3300713780,Colebrook,Town meeting,Select board,false,1796,2084
3300936900,Holderness,Town meeting,Select board,false,1761,2004
3301375460,Sutton,Town meeting,Select board,false,1784,1978
3301131940,Greenville,Town meeting,Select board,false,1872,1974
3300902020,Ashland,Town meeting,Select board,false,1868,1938
3301744820,Madbury,Town meeting,Select board,false,1755,1918
3301380020,Webster,Town meeting,Select board,false,1860,1913
3301117780,Deering,Town meeting,Select board,false,1774,1904
3300500820,Alstead,Town meeting,Select board,false,1763,1864
3301747700,Middleton,Town meeting,Select board,false,1778,1823
3300900580,Alexandria,Town meeting,Select board,false,1782,1776
3301551380,Newfields,Town meeting,Select board,false,1849,1769
3300944260,Lyme,Town meeting,Select board,false,1761,1745
3301133700,Hancock,Town meeting,Select board,false,1779,1731
3301131540,Greenfield,Town meeting,Select board,false,1791,1716
3300582660,Westmoreland,Town meeting,Select board,false,1752,1706
3301144580,Lyndeborough,Town meeting,Select board,false,1764,1702
3300323620,Effingham,Town meeting,Select board,false,1778,1691
3300327700,Freedom,Town meeting,Select board,false,1831,1689
3301306980,Bradford,Town meeting,Select board,false,1787,1662
