district_id,district
5,Albany
9,Allenstown
15,Alton
17,Amherst
19,Andover
23,Ashland
29,Auburn
31,Barnstead
33,Barrington
35,Bartlett
39,Bath
41,Bedford
47,Benton
51,Berlin
53,Bethlehem
57,Bow
63,Brentwood
71,Brookline
75,Campton
79,Candia
91,Chatham
93,Chester
95,Chesterfield
99,Chichester
101,Claremont
103,Clarksville
105,Colebrook
107,Columbia
111,Concord
112,Contoocook Valley
113,Conway
114,Coos County School District
115,Cornish
117,Croydon
127,Deerfield
131,Derry Cooperative
141,Dover
142,Dresden
147,Dummer
149,Dunbarton
153,East Kingston
159,Eaton
162,Ellsworth
165,Epping
167,Epsom
171,Errol
172,Exeter Region Cooperative
173,Exeter
174,Fall Mountain Regional
175,Farmington
185,Franklin
187,Freedom
189,Fremont
191,Gilford
195,Gilmanton
199,Goffstown
203,Gorham Randolph Shelburne Cooperative
204,Goshen
208,Governor Wentworth Regional
211,Grantham
215,Greenland
222,Hale's Location (Carroll County)
223,Hampstead
225,Hampton
227,Hampton Falls
233,Hanover
235,Harrisville
236,Hart's Location
238,Haverhill Cooperative
245,Henniker
247,Hill
251,Hillsboro-Deering Cooperative
255,Hinsdale
257,Holderness
259,Hollis
260,Hollis-Brookline Cooperative
261,Hooksett
263,Hopkinton
267,Hudson
269,Inter-Lakes Cooperative
271,Jackson
274,Jaffrey-Rindge Cooperative
275,John Stark Regional
276,Kearsarge Regional
279,Keene
281,Kensington
285,Laconia
288,Lafayette Regional
291,Landaff
295,Lebanon
299,Lempster
305,Lincoln-Woodstock Cooperative
306,Lisbon Regional
315,Litchfield
317,Littleton
319,Londonderry
327,Lyme
333,Madison
335,Manchester
339,Marlborough
341,Marlow
342,Mascenic Regional
343,Mascoma Valley Regional
345,Mason
351,Merrimack
352,Merrimack Valley
353,Middleton
355,Milan
357,Milford
359,Milton
363,Monadnock Regional
365,Monroe
367,Mont Vernon
369,Moultonborough
371,Nashua
375,Nelson
377,New Boston
381,New Castle
387,Newfields
388,Newfound Area
391,Newington
399,Newmarket
401,Newport
405,North Hampton
407,Northumberland
411,Northwood
413,Nottingham
423,Oyster River Coop
425,Pelham
427,Pembroke
428,Pemi-Baker Regional
435,Piermont
437,Pittsburg
439,Pittsfield
441,Plainfield
447,Plymouth
449,Portsmouth
450,Profile
453,Raymond
457,Rivendell
461,Rochester
463,Rollinsford
467,Rumney
471,Rye
473,Salem
476,Sanborn Regional
485,Seabrook
486,Shaker Regional
491,Somersworth
493,Souhegan Cooperative
495,South Hampton
499,Stark
501,Stewartstown
503,Stoddard
507,Strafford
509,Stratford
511,Stratham
513,Sullivan
515,Sunapee
519,Surry
525,Tamworth
531,Thornton
534,Timberlane Regional
539,Unity
543,Wakefield
549,Warren
551,Washington
553,Waterville Valley
555,Weare
559,Wentworth
563,Westmoreland
568,White Mountains Regional
572,Wilton-Lyndeborough Cooperative
573,Winchester
575,Windham
579,Windsor
581,Winnacunnet Cooperative
582,Winnisquam Regional
584,Pasquaney
838,In-State Facility
970,Prospect Mountain JMA
998,Coe-Brown Northwood Academy
999,Pinkerton Academy
