sau_id,sau
1,Contoocook Valley SAU Office
2,Inter-Lakes Cooperative SAU Office
3,Berlin SAU Office
4,Newfound Area SAU Office
5,Oyster River SAU Office
6,Claremont SAU Office
7,Colebrook SAU Office
8,Concord SAU Office
9,Conway SAU Office
10,Derry Cooperative SAU Office
11,Dover SAU Office
12,Londonderry SAU Office
13,Tamworth SAU Office
14,Epping SAU Office
15,Hooksett SAU Office
16,Exeter SAU Office
17,Sanborn Regional SAU Office
18,Franklin SAU Office
19,Goffstown SAU Office
20,Gorham SAU Office
21,Winnacunnet SAU Office
23,Haverhill Cooperative SAU Office
24,Henniker SAU Office
25,Bedford SAU Office
26,Merrimack SAU Office
27,Litchfield SAU Office
28,Pelham SAU Office
29,Keene SAU Office
30,Laconia SAU Office
31,Newmarket SAU Office
32,Plainfield SAU Office
33,Raymond SAU Office
34,Hillsboro-Deering SAU Office
35,SAU #35 Office
36,White Mountains Regional SAU Office
37,Manchester SAU Office
39,Amherst SAU Office
40,Milford SAU Office
41,Hollis-Brookline SAU Office
42,Nashua SAU Office
43,Newport SAU Office
44,Northwood SAU Office
45,Moultonborough SAU Office
46,SAU #46 Office
47,Jaffrey-Rindge SAU Office
48,Plymouth SAU Office
49,Governor Wentworth Regional SAU Office
50,Greenland SAU Office
51,Pittsfield SAU Office
52,Portsmouth SAU Office
53,Pembroke SAU Office
54,Rochester SAU Office
55,Hampstead SAU Office
56,Somersworth SAU Office
57,Salem SAU Office
58,Northumberland SAU Office
59,Winnisquam Regional SAU Office
60,Fall Mountain Regional SAU Office
61,Farmington SAU Office
62,Mascoma Valley SAU Office
63,Wilton SAU Office
64,Milton SAU Office
65,Kearsarge Regional SAU Office
66,Hopkinton SAU Office
67,Bow SAU Office
68,Lincoln-Woodstock SAU Office
69,Middleton SAU
70,Hanover SAU Office
71,Lempster SAU Office
72,Alton SAU Office
73,Gilford SAU Office
74,Barrington SAU Office
75,Grantham SAU Office
76,Lyme SAU Office
77,Monroe SAU Office
78,Rivendell Interstate SAU Office
79,Gilmanton SAU Office
80,Shaker Regional SAU Office
81,Hudson SAU Office
82,Chester SAU Office
83,Fremont SAU Office
84,Littleton SAU Office
85,Sunapee SAU Office
86,Barnstead SAU Office
87,Mascenic Regional SAU Office
88,Lebanon SAU Office
89,Mason SAU Office
90,Hampton SAU Office
91,Surry SAU Office
92,Hinsdale SAU Office
93,Monadnock Regional SAU Office
94,Winchester SAU Office
95,Windham SAU Office
96,Sullivan SAU Office
97,Hale's Location c/o Carroll Cty
98,Coos County
99,Croydon SAU Office
100,Cornish SAU Office
101,Wakefield SAU Office
102,Goshen SAU Office
103,Hill SAU Office
104,Rollinsford SAU Office
105,Strafford SAU Office
106,Timberlane Regional SAU Office
107,Nottingham SAU Office
108,Pasquaney SAU Office
109,Unity
110,Lisbon Regional
201,Coe-Brown Northwood Academy
202,Pinkerton Academy
301,Prospect Mountain JMA
501,State Operated Facilities
