geoid,town,district_id,district,grade_span,sau_id,sau
3301900260,Acworth,174,Fall Mountain Regional,P-12,60,Fall Mountain Regional SAU Office
3300300420,Albany,5,Albany,P-12,9,Conway SAU Office
3300900580,Alexandria,388,Newfound Area,P-12,4,Newfound Area SAU Office
3301300660,Allenstown,9,Allenstown,K-8,53,Pembroke SAU Office
3300500820,Alstead,174,Fall Mountain Regional,P-12,60,Fall Mountain Regional SAU Office
3300101060,Alton,15,Alton,K-8,72,Alton SAU Office
3301101300,Amherst,17,Amherst,K-8,39,Amherst SAU Office
3301101300,Amherst,493,Souhegan Cooperative,9-12,39,Amherst SAU Office
3301301460,Andover,19,Andover,K-8,46,SAU #46 Office
3301101700,Antrim,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
3300902020,Ashland,23,Ashland,K-8,2,Inter-Lakes Cooperative SAU Office
3300902020,Ashland,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3301502340,Atkinson,534,Timberlane Regional,P-12,106,Timberlane Regional SAU Office
3301502820,Auburn,29,Auburn,P-8,15,Hooksett SAU Office
3300103220,Barnstead,31,Barnstead,P-8,86,Barnstead SAU Office
3301703460,Barrington,33,Barrington,P-8,74,Barrington SAU Office
3300303700,Bartlett,35,Bartlett,P-8,9,Conway SAU Office
3300903940,Bath,39,Bath,K-6,23,Haverhill Cooperative SAU Office
3301104500,Bedford,41,Bedford,P-12,25,Bedford SAU Office
3300104740,Belmont,486,Shaker Regional,P-12,80,Shaker Regional SAU Office
3301104900,Bennington,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
3300905060,Benton,47,Benton,P-12,23,Haverhill Cooperative SAU Office
3300705140,Berlin,51,Berlin,P-12,3,Berlin SAU Office
3300905460,Bethlehem,53,Bethlehem,P-6,35,SAU #35 Office
3300905460,Bethlehem,450,Profile,7-12,35,SAU #35 Office
3301306260,Boscawen,352,Merrimack Valley,P-12,46,SAU #46 Office
3301306500,Bow,57,Bow,P-12,67,Bow SAU Office
3301306980,Bradford,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3301507220,Brentwood,63,Brentwood,P-5,16,Exeter SAU Office
3301507220,Brentwood,172,Exeter Region Cooperative,6-12,16,Exeter SAU Office
3300907540,Bridgewater,584,Pasquaney,P-6,108,Pasquaney SAU Office
3300907700,Bristol,388,Newfound Area,P-12,4,Newfound Area SAU Office
3300307940,Brookfield,208,Governor Wentworth Regional,P-12,49,Governor Wentworth Regional SAU Office
3301108100,Brookline,71,Brookline,P-6,41,Hollis-Brookline SAU Office
3301108100,Brookline,260,Hollis-Brookline Cooperative,7-12,41,Hollis-Brookline SAU Office
3300908660,Campton,75,Campton,P-8,48,Plymouth SAU Office
3300908660,Campton,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3300908980,Canaan,343,Mascoma Valley Regional,P-12,62,Mascoma Valley SAU Office
3301509300,Candia,79,Candia,K-8,15,Hooksett SAU Office
3301309860,Canterbury,486,Shaker Regional,P-12,80,Shaker Regional SAU Office
3300710100,Carroll,568,White Mountains Regional,P-12,36,White Mountains Regional SAU Office
3300110660,Center Harbor,269,Inter-Lakes Cooperative,P-12,2,Inter-Lakes Cooperative SAU Office
3301911380,Charlestown,174,Fall Mountain Regional,P-12,60,Fall Mountain Regional SAU Office
3300311780,Chatham,91,Chatham,P-12,9,Conway SAU Office
3301512100,Chester,93,Chester,P-8,82,Chester SAU Office
3300512260,Chesterfield,95,Chesterfield,K-8,29,Keene SAU Office
3301312420,Chichester,99,Chichester,K-8,53,Pembroke SAU Office
3301912900,Claremont,101,Claremont,K-12,6,Claremont SAU Office
3300713220,Clarksville,103,Clarksville,P-12,7,Colebrook SAU Office
3300713780,Colebrook,105,Colebrook,P-12,7,Colebrook SAU Office
3300713940,Columbia,107,Columbia,P-12,7,Colebrook SAU Office
3301314200,Concord,111,Concord,P-12,8,Concord SAU Office
3301314200,Concord,838,In-State Facility,,501,State Operated Facilities
3300314660,Conway,113,Conway,K-12,9,Conway SAU Office
