state,burden_pct,burden_rank,collections_percap,collections_rank,prop_pct,sales_pct,individual_income_pct,corporate_income_pct,other_pct,eff_property_rate,eff_property_rank,hh_property_pc,hh_income_pc,hh_sales_pc,hh_excise_pc,hh_income_percap,hh_persons_per_household,hh_burden_pct,hh_burden_rank
Alabama,9.8,20,4950,48,15.5,32.6,24.0,6.2,21.6,0.37,49,769,1189,1615,778,57311,2.43,7.59,19
Alaska,4.6,1,7509,17,32.1,6.4,0.0,8.0,53.5,0.94,20,2407,0,481,678,76234,2.59,4.68,1
Arizona,9.5,15,5006,46,24.7,47.1,12.9,4.2,11.2,0.48,47,1234,644,2359,359,65798,2.49,6.99,10
Arkansas,10.2,26,5302,41,17.0,41.7,19.4,5.2,16.7,0.56,37,901,1029,2211,648,59320,2.41,8.07,26
California,13.5,46,8942,8,26.3,21.5,27.5,8.5,16.2,0.7,32,2352,2461,1921,775,86232,2.79,8.71,36
Colorado,9.7,19,6780,22,32.9,29.7,17.0,5.9,14.5,0.5,44,2229,1154,2014,690,83055,2.35,7.33,15
Connecticut,15.4,49,9388,4,35.3,16.3,26.0,10.3,12.2,1.54,3,3311,2436,1528,870,95067,2.45,8.57,34
Delaware,12.4,42,7710,15,14.1,0.0,30.6,7.3,48.0,0.54,39,1087,2359,0,639,68061,2.49,6.0,4
District of Columbia,12.0,,15009,,29.3,18.7,29.8,11.0,11.2,0.6,,4395,4469,2808,664,111185,2.02,11.1,
Florida,9.1,11,5141,44,34.8,39.0,0.0,4.7,21.4,0.78,27,1789,0,2006,647,73006,2.5,6.08,5
Georgia,8.9,8,5406,38,29.9,25.5,28.0,6.1,10.6,0.79,25,1616,1512,1376,415,63006,2.59,7.81,22
Hawaii,14.1,48,9758,3,18.1,37.5,22.0,2.5,20.0,0.29,50,1762,2151,3655,1378,71019,2.85,12.6,50
Idaho,10.7,29,5012,45,22.8,31.5,21.8,10.5,13.3,0.5,45,1142,1094,1579,384,62323,2.6,6.74,8
Illinois,12.9,44,8339,10,32.3,17.7,20.7,9.4,20.0,1.88,2,2690,1727,1477,1229,74522,2.43,9.56,46
Indiana,9.3,14,5964,29,22.2,26.9,31.5,3.0,16.4,0.76,29,1325,1879,1604,804,64077,2.43,8.76,37
Iowa,11.2,34,6471,25,32.3,25.0,22.9,4.0,15.8,1.33,9,2089,1481,1619,601,65225,2.34,8.88,39
Kansas,11.2,33,6609,24,28.2,29.2,23.2,8.0,11.5,1.21,13,1861,1531,1928,539,65856,2.39,8.9,40
Kentucky,9.6,17,5444,36,20.0,23.1,32.3,6.1,18.5,0.74,31,1089,1760,1259,784,58256,2.39,8.4,28
Louisiana,9.1,12,5863,32,18.5,40.2,17.4,4.5,19.3,0.55,38,1086,1019,2359,735,61897,2.42,8.4,29
Maine,12.4,41,7220,18,35.9,22.5,24.6,4.5,12.5,0.98,19,2591,1779,1622,578,68932,2.21,9.53,45
Maryland,11.3,35,8139,11,23.6,13.5,39.7,4.0,19.1,0.92,21,1924,3235,1099,1076,79259,2.55,9.25,44
Massachusetts,11.5,37,9076,6,33.1,14.6,34.3,7.1,10.8,1.0,16,3005,3110,1328,516,93607,2.43,8.5,31
Michigan,8.6,5,5413,37,33.8,23.7,22.7,3.8,16.1,1.19,14,1831,1227,1281,554,63690,2.4,7.68,20
Minnesota,12.1,39,7860,13,22.9,18.8,31.0,10.3,17.0,1.0,17,1798,2436,1480,906,75603,2.39,8.76,38
