fiscal_year,source,amount
2026,General Fund,1958300469
2027,General Fund,1994618531
2026,Agency Income,835990347
2027,Agency Income,801293203
2026,Transfer from Other Agencies,256387754
2027,Transfer from Other Agencies,264739889
2026,Federal Funds,2612489319
2027,Federal Funds,2642961489
2026,Revolving Funds,91215906
2027,Revolving Funds,96569996
2026,Intra-Agency Transfers,24379501
2027,Intra-Agency Transfers,26325521
2026,Agency Indirect Cost Recoveries,10462626
2027,Agency Indirect Cost Recoveries,10504189
2026,Private Local Funds,510128814
2027,Private Local Funds,525032985
2026,Education Fund,1288473297
2027,Education Fund,1301167697
2026,TRS From Dept Transportation,1527038
2027,TRS From Dept Transportation,1560008
2026,Highway Fund,303424395
2027,Highway Fund,308045158
2026,Fed Rev Xfers from Other Agencies,11109730
2027,Fed Rev Xfers from Other Agencies,10754403
2026,Turnpike Fund,157831299
2027,Turnpike Fund,157757627
2026,Liquor Commission,91978948
2027,Liquor Commission,93249431
2026,Fish and Game Fund,20135290
2027,Fish and Game Fund,20336561
2026,Sweepstakes Fund-Lottery,16012388
2027,Sweepstakes Fund-Lottery,16563337
