fiscal_year,source,actual_musd,plan_musd
2025,Business Taxes,1103.1,1259.0
2025,Meals & Rentals Tax,337.9,325.0
2025,Tobacco Tax,180.6,212.3
2025,Transfer from Liquor Commission,95.1,124.5
2025,Interest & Dividends Tax,93.1,82.0
2025,Insurance Tax,181.2,143.0
2025,Communications Tax,29.0,30.0
2025,Real Estate Transfer Tax,201.0,210.0
2025,Court Fines & Fees,13.3,13.3
2025,Securities Revenue,43.6,46.6
2025,Beer Tax,11.8,13.2
2025,Other,184.3,94.5
2025,Transfer from Lottery Commission,210.3,164.0
2025,Tobacco Settlement,37.7,38.5
2025,Utility Property Tax,49.3,43.0
2025,State Property Tax,364.4,363.1
2025,DHHS Recoveries,2.1,3.0
2026,Business Taxes,1137.0,1123.9
2026,Meals & Rentals Tax,348.4,351.0
2026,Tobacco Tax,182.6,177.0
2026,Transfer from Liquor Commission,98.3,114.1
2026,Interest & Dividends Tax,2.0,8.7
2026,Insurance Tax,195.5,165.0
2026,Communications Tax,27.4,29.1
2026,Real Estate Transfer Tax,230.7,214.4
2026,Court Fines & Fees,13.5,16.4
2026,Securities Revenue,43.9,44.4
2026,Beer Tax,11.6,13.0
2026,Other,162.7,135.7
2026,Video Lottery Terminal,21.9,60.1
2026,Transfer from Lottery Commission,250.9,192.7
2026,Tobacco Settlement,35.6,32.5
2026,Utility Property Tax,50.1,50.0
2026,State Property Tax,363.5,363.1
2026,DHHS Recoveries,2.5,3.5
2026,Amnesty Payments,103.8,5.0
