geoid,name,history,source_url,sb2
3301145140,Manchester,"Manchester, New Hampshire was originally settled in 1722 and incorporated as a city in 1846, having been renamed from ""Derryfield"" in 1810 by merchant Samuel Blodget, who envisioned ""the Manchester of America"" modeled after the industrial city in England. During the nineteenth century, Manchester became home to the Amoskeag Manufacturing Company, then the largest cotton textile plant in the world, which drove massive industrial growth and immigration to the region. The city's economy shifted significantly after World War II as textile manufacturing declined, though it has since diversified and undergone substantial downtown redevelopment.","https://en.wikipedia.org/wiki/Manchester,_New_Hampshire",
3301543220,Londonderry,"The area now known as Londonderry was originally called Nutfield due to its dense woods containing nut trees, with settlers arriving around April 1719 and petitioning for incorporation that September. The town was officially chartered on June 21, 1722, and named after Londonderry in Ulster, Ireland, reflecting the Irish and New England heritage of its founding population. A notable historical achievement occurred in 1719 when the first North American potato was cultivated in what is now Derry, then part of Londonderry, while the town's growth accelerated dramatically after World War II with the construction of Interstate 93.","https://en.wikipedia.org/wiki/Londonderry,_New_Hampshire",
3301148020,Milford,"Milford separated from the neighboring town of Amherst in 1794 and, like most towns bearing this name, derives its identity from a mill constructed on a ford of the Souhegan River. The town became renowned for its granite quarries during the nineteenth century, which supplied stone for notable structures including pillars of the U.S. Treasury Building in Washington, D.C. Milford also served as a stop on the Underground Railroad and was home to Harriet E. Wilson, whose 1859 novel Our Nig is recognized as the first published by an African-American woman in the country.","https://en.wikipedia.org/wiki/Milford,_New_Hampshire",
3300933860,Hanover,"Hanover was chartered on July 4, 1761, by Governor Benning Wentworth, with its first European settlers arriving in 1765-1766 primarily from Connecticut. The town's name likely derives from either a parish in Connecticut or from the reigning British-Hanoverian king George III, referencing the German House of Hanover. In the 1780s, the southwestern area known as Dresden briefly joined the independent Vermont Republic before returning to New Hampshire, a historical remnant still reflected in the interstate Dresden School District that serves both Hanover and Norwich, Vermont.","https://en.wikipedia.org/wiki/Hanover,_New_Hampshire",
3301179780,Weare,"Weare was incorporated in 1764 by Governor Benning Wentworth and named after Meshech Weare, the town's first clerk who later became New Hampshire's first governor. The town experienced a catastrophic flood in 1938 when the New England Hurricane caused the Deering Reservoir dam to breach, destroying mills and devastating sections of the community. In response, the U.S. Army Corps of Engineers constructed Everett Dam as part of a flood control project completed in 1963, which resulted in the permanent abandonment of the village of East Weare.","https://en.wikipedia.org/wiki/Weare,_New_Hampshire",
3300128740,Gilford,"Originally settled in 1778 as part of Gilmanton and known as Gunstock Parish, the town was incorporated in 1812 when Captain Lemuel B. Mason proposed naming it Guilford after the Revolutionary War battle where he had fought in North Carolina, though the name was later contracted by clerical error to Gilford. The town became notable as the destination of the first snow train from Boston in the 1930s and featured New Hampshire's first motorized ski lift, a gasoline-powered rope tow constructed in 1934 at what is now Gunstock Mountain Resort.","https://en.wikipedia.org/wiki/Gilford,_New_Hampshire",
3300962660,Plymouth,"Plymouth was incorporated in 1763 after being granted to settlers from Hollis, many of whom were French and Indian War veterans originally from Plymouth, Massachusetts, from which the town derived its name. The area was originally home to an Abenaki village before being destroyed by British forces in 1712 during Queen Anne's War. Notable historical events include author Nathaniel Hawthorne's death there in 1864 and the founding of the Plymouth Normal School in 1871, which eventually became Plymouth State University.","https://en.wikipedia.org/wiki/Plymouth,_New_Hampshire",
3301335540,Henniker,"Henniker was incorporated in 1768 by Governor John Wentworth and named after Sir John Henniker, a London merchant engaged in the leather and fur trade with shipping interests in Boston and Portsmouth. The town developed as an agricultural and industrial center, with water-powered mills along the Contoocook River supporting operations including a woolen factory until their closure in 1959. In the nineteenth century, Henniker experienced a notably high rate of congenital deafness and developed its own sign language, which scholars believe may have influenced the development of American Sign Language.","https://en.wikipedia.org/wiki/Henniker,_New_Hampshire",
3301343380,Loudon,"Loudon was incorporated on January 23, 1773, by Governor John Wentworth, with territory taken from the neighboring town of Canterbury. The town was named to honor John Campbell, 4th Earl of Loudoun, a Scottish military leader who commanded British forces in North America during the French and Indian War. Lord Loudoun notably helped establish Rogers' Rangers, an independent colonial militia company attached to the British Army during the conflict.","https://en.wikipedia.org/wiki/Loudon,_New_Hampshire",
3300103220,Barnstead,"Barnstead was granted in 1727 and incorporated as a town in 1767, with its name deriving from settlers who emigrated from Barnstable, Massachusetts, and Hempstead, New York. The town's rolling terrain proved ideal for agricultural development, supporting approximately 2,500 sheep by 1830 and becoming a significant lumber manufacturing center by the mid-nineteenth century, with mills, factories, and tanneries powered by the Suncook River.","https://en.wikipedia.org/wiki/Barnstead,_New_Hampshire",
3301556820,Northwood,"Northwood was incorporated on February 6, 1773, when colonial governor John Wentworth separated a large tract of land called ""North Woods"" from the adjacent town of Nottingham. Around 1800, the construction of the Portsmouth to Concord Turnpike stimulated economic growth, leading to the establishment of numerous taverns and eventually twelve sawmills, five of which later transformed into shoe factories during the nineteenth century. The town has since evolved into a recreational destination, becoming known for its nine lakes and antique shops.","https://en.wikipedia.org/wiki/Northwood,_New_Hampshire",
3301352100,New London,"New London was incorporated in 1779 by sixteen families who petitioned the General Court, officially taking its name from London, England, though possibly also acknowledging the Londonderry-based proprietors who had recruited the original settlers. The township proprietors systematically subdivided and sold their properties at substantial profit, with nearly all initial settlers coming from Massachusetts towns like Amesbury and Attleboro. In 1947, Colby-Sawyer College became the permanent site of the Gordon Research Conferences, establishing the town as a center for scientific gatherings.","https://en.wikipedia.org/wiki/New_London,_New_Hampshire",
3300177060,Tilton,"Originally the southern part of Sanbornton known as ""Sanbornton Bridge,"" the area was incorporated as the town of Tilton in 1869 and named in honor of Nathaniel Tilton, an early settler who established an iron foundry and the region's first hotel. The town's development was significantly shaped by Charles E. Tilton, the great-grandson of Nathaniel and a wealthy textile mill owner, who donated numerous statues and landmarks to the community, including his mansion which now houses the Lucian Hunt Library and a notable Roman arch replica built of Concord granite as a memorial to his ancestors.","https://en.wikipedia.org/wiki/Tilton,_New_Hampshire",
3300908660,Campton,"Campton was granted by Governor Benning Wentworth in 1761 and incorporated in 1767, with initial settlement beginning around 1765. The town derives its name from a camp that the first proprietors established to survey the two towns of Campton and Rumney. By the mid-nineteenth century, Campton had developed a diverse local economy including sawmills, gristmills, tanneries, and carriage manufacturing, and the town remains notable for its three covered bridges, including the Blair Bridge, which ranks among the longest entirely within New Hampshire.","https://en.wikipedia.org/wiki/Campton,_New_Hampshire",
3300376100,Tamworth,"Tamworth was granted in 1766 by colonial Governor Benning Wentworth and named in honor of British Vice-Admiral Washington Shirley, Viscount Tamworth, a close friend of the governor. The town became a destination for prominent thinkers and artists during the early twentieth century, including philosophers William and Henry James and poet E.E. Cummings, who sought refuge in the White Mountains region. The Barnstormers Theatre, established in 1931 by Francis Cleveland, son of President Grover Cleveland, remains among the oldest continuously running professional summer theaters in the country.","https://en.wikipedia.org/wiki/Tamworth,_New_Hampshire",
3300345060,Madison,"Madison was incorporated in 1852 as a town in Carroll County, New Hampshire, named in honor of President James Madison on the centennial of his birth. The area had previously been designated for land grants to soldiers who served in the French and Indian War, covering parts of what are now Eaton and Albany. Today, Madison is notable for being home to the Madison Boulder, the largest known glacial erratic in New England and among the largest in the world.","https://en.wikipedia.org/wiki/Madison,_New_Hampshire",
3301309860,Canterbury,"Canterbury was first granted by Lieutenant Governor John Wentworth in 1727 and incorporated in 1741, being named after William Wake, the Archbishop of Canterbury. Originally established as a militia timber fort and trading post by Captain Jeremiah Clough where the Pennacook people came to trade, the town would later become home to the Canterbury Shaker Village, established in 1792, which at its peak housed over 300 residents across 4,000 acres and is now preserved as a National Historic Landmark.","https://en.wikipedia.org/wiki/Canterbury,_New_Hampshire",
3300713780,Colebrook,"Colebrook was initially granted in 1762 as ""Dryden"" but regranted and renamed in 1770 by Governor John Wentworth after Sir George Colebrooke, chairman of the East India Company, with formal incorporation occurring on June 11, 1796. The remote settlement experienced early hardship when its first inhabitants were driven out by the Revolutionary War, with meaningful development only resuming afterward. The town subsequently became a significant center for potato starch production in the nineteenth century, at its peak generating roughly one third of the potato starch in the state, before transitioning to dairy farming after 1880.","https://en.wikipedia.org/wiki/Colebrook,_New_Hampshire",
3300500820,Alstead,"Alstead was incorporated in 1763 and named for Johann Heinrich Alsted, a scholar whose encyclopedia was widely read at Harvard College. Originally chartered by Massachusetts Governor Jonathan Belcher in 1735 as part of a defensive line of forts, the town became known as ""Paper Mill Village"" after Ephraim and Elisha Kingsbury established one of New Hampshire's first paper mills there in 1793. The town briefly joined Vermont in 1781 following the Revolutionary War but returned to New Hampshire authority at George Washington's urging.","https://en.wikipedia.org/wiki/Alstead,_New_Hampshire",
3301144580,Lyndeborough,"Originally granted by the Massachusetts General Court to veterans from Salem, Massachusetts, the area was initially known as ""Salem-Canada"" before being renamed Lyndeborough following a re-grant to proprietors that included Benjamin Lynde, who would become Chief Justice of Massachusetts. John Cram and his family established the first settlement in 1736 with a sawmill, and the town was incorporated in 1764. The town has maintained significant historical institutions, including the Lafayette Artillery Company, which relocated there in 1833, and numerous structures now listed on the National Register of Historic Places, such as the 1846 town hall and Citizens' Hall from 1889.","https://en.wikipedia.org/wiki/Lyndeborough,_New_Hampshire",
3300519140,Dublin,"Dublin was incorporated in 1771 by Governor John Wentworth and named after the Irish birthplace of early settler Henry Strongman, who had relocated from Peterborough. The town developed as a farming community with rocky soil, though its population declined significantly after the mill town of Harrisville separated from it in 1870. Notably, in 1912, 'Abdu'l-Baha, the leader of the Baha'i Faith, spent 23 days in Dublin and gave several high-profile addresses on topics including racial equality and spiritual education.","https://en.wikipedia.org/wiki/Dublin,_New_Hampshire",
3301384900,Wilmot,"Wilmot was incorporated in 1807, formed from territories that included parts of New London, the Kearsarge gore, and a small section of New Chester. The town derives its name from Dr. James Wilmot, an English clergyman who had spoken out against England's treatment of the American colonies. A notable historical connection exists through Winslow State Park, which honors Captain John Winslow, commander of the USS Kearsarge, the Civil War naval vessel that sank the CSS Alabama in 1864.","https://en.wikipedia.org/wiki/Wilmot,_New_Hampshire",
3300564420,Richmond,"Richmond was first chartered in 1735 as ""Sylvester-Canada"" to honor Captain Joseph Sylvester of Massachusetts, who died in 1690 during a military campaign in Canada, and was incorporated in 1752 under its present name by Governor Benning Wentworth, who named it after Charles Lennox, the 3rd Duke of Richmond, a proponent of colonial independence. The town was settled beginning around 1757 by emigrants from Rhode Island and Massachusetts, and historically developed a notable pail-making industry that became central to its economy.","https://en.wikipedia.org/wiki/Richmond,_New_Hampshire",
3300338260,Jackson,"Jackson was incorporated in 1829 and named after President Andrew Jackson, who had just been inaugurated. The town's origins trace back to 1778 when Benjamin Copp and his family first settled the area, which had previously been called ""New Madbury"" in honor of a coastal New Hampshire town. By the mid-nineteenth century, Jackson became a notable resort destination, attracting White Mountain School artists beginning in 1847 and subsequently developing into a popular tourist hub served by railroad lines that brought up to 40 trains daily by the 1920s.","https://en.wikipedia.org/wiki/Jackson,_New_Hampshire",
3300980500,Wentworth,"Wentworth, New Hampshire was granted and incorporated in 1766 by Governor Benning Wentworth, who named the town after himself, and was settled primarily by residents arriving from Massachusetts towns like Salisbury. The town developed into a lumber-producing center powered by the Baker River's water resources, operating nine sawmills until a catastrophic 1856 flood destroyed most of these mills and significantly widened the river channel.","https://en.wikipedia.org/wiki/Wentworth,_New_Hampshire",
3301930500,Goshen,"Goshen, New Hampshire was incorporated in 1791 after being first settled in 1768 as part of the town of Saville, which later became Sunapee. The town's name may derive from Goshen, Connecticut, where many early residents had family connections. In 1954, Goshen established a cooperative elementary and middle school with neighboring Lempster that operated for over six decades until the arrangement dissolved in 2016.","https://en.wikipedia.org/wiki/Goshen,_New_Hampshire",
3300574900,Sullivan,"Sullivan, a town in Cheshire County, New Hampshire, was incorporated on September 27, 1787, and named after General John Sullivan. The community was established through portions of four neighboring towns: Gilsum, Keene, Nelson, and Stoddard, with farming emerging as its primary economic activity. In 1867, Sullivan became the first town in New Hampshire to dedicate a monument to its soldiers lost in the Civil War, a monument that stands across from the Sullivan Congregational Church.","https://en.wikipedia.org/wiki/Sullivan,_New_Hampshire",
3300773060,Stark,"Stark, New Hampshire was granted in 1774 and originally named ""Percy"" after Hugh Percy, 1st Duke of Northumberland, before being incorporated in 1795 and renamed in 1832 to honor General John Stark, the Revolutionary War figure whose words inspired the state motto ""Live Free or Die."" During World War II, the town hosted Camp Stark, which held approximately 250 German prisoners of war and served as the only World War II POW camp located in New Hampshire. Many of these prisoners performed labor in local forests to supply wood for paper mills in nearby Berlin before the camp closed in 1946.","https://en.wikipedia.org/wiki/Stark,_New_Hampshire",
3300763860,Randolph,"Randolph was originally granted as ""Durand"" in 1772 and later incorporated as a town in 1824, taking its name from John Randolph, a Virginia congressman and senator descended from Pocahontas. The town developed as a vacation destination in the nineteenth century, with hotels like the Mt. Crescent House drawing visitors via train and horse-drawn carriage before automobiles became prevalent. In 1910, the Randolph Mountain Club was established to restore trails destroyed by logging, and it continues operating camps and shelters throughout the surrounding White Mountain National Forest.","https://en.wikipedia.org/wiki/Randolph,_New_Hampshire",
3300923860,Ellsworth,"Ellsworth, New Hampshire was originally chartered as ""Trecothick"" after a Boston-born merchant and Lord Mayor of London, but was renamed in 1802 to honor Chief Justice Oliver Ellsworth. The town's first census in 1800 recorded 47 residents, establishing it as a small rural community in Grafton County. Today, the entire municipality lies within the White Mountain National Forest and is home to part of the Hubbard Brook Experimental Forest, making it an important site for environmental research.","https://en.wikipedia.org/wiki/Ellsworth,_New_Hampshire",
