geoid,county,district
3300101060,Belknap,7
3300103220,Belknap,7
3300104740,Belknap,4
3300104740,Belknap,8
3300110660,Belknap,1
3300128740,Belknap,6
3300128980,Belknap,6
3300140180,Belknap,5
3300140180,Belknap,6
3300147140,Belknap,2
3300151540,Belknap,1
3300167300,Belknap,3
3300167300,Belknap,8
3300177060,Belknap,3
3300177060,Belknap,8
3300300420,Carroll,2
3300303700,Carroll,2
3300307940,Carroll,4
3300307940,Carroll,8
3300311780,Carroll,2
3300314660,Carroll,1
3300323380,Carroll,4
3300323380,Carroll,8
3300323620,Carroll,4
3300323620,Carroll,8
3300327700,Carroll,4
3300327700,Carroll,8
3300334500,Carroll,2
3300338260,Carroll,2
3300345060,Carroll,3
3300345060,Carroll,8
3300349380,Carroll,3
3300349380,Carroll,8
3300358740,Carroll,5
3300358740,Carroll,7
3300367780,Carroll,2
3300376100,Carroll,3
3300376100,Carroll,8
3300377620,Carroll,6
3300377620,Carroll,7
3300378180,Carroll,4
3300378180,Carroll,8
3300386420,Carroll,6
3300386420,Carroll,7
3300500820,Cheshire,9
3300500820,Cheshire,16
3300512260,Cheshire,6
3300512260,Cheshire,15
3300519140,Cheshire,13
3300519140,Cheshire,18
3300526500,Cheshire,12
3300526500,Cheshire,17
3300529220,Cheshire,9
3300529220,Cheshire,16
3300534420,Cheshire,8
3300534420,Cheshire,16
3300536660,Cheshire,6
3300536660,Cheshire,15
3300538500,Cheshire,13
3300538500,Cheshire,18
3300539300,Cheshire,1
3300539300,Cheshire,2
3300539300,Cheshire,3
3300539300,Cheshire,4
3300539300,Cheshire,7
3300539300,Cheshire,15
3300539300,Cheshire,16
3300545460,Cheshire,8
3300545460,Cheshire,16
3300545700,Cheshire,9
3300545700,Cheshire,16
3300550580,Cheshire,8
3300550580,Cheshire,16
3300564420,Cheshire,10
3300564420,Cheshire,17
3300564580,Cheshire,14
3300564580,Cheshire,18
3300565700,Cheshire,8
3300565700,Cheshire,16
3300573700,Cheshire,9
3300573700,Cheshire,16
3300574900,Cheshire,8
3300574900,Cheshire,16
3300575300,Cheshire,5
3300575300,Cheshire,15
3300575700,Cheshire,10
3300575700,Cheshire,17
3300577380,Cheshire,12
3300577380,Cheshire,17
3300578420,Cheshire,5
3300578420,Cheshire,15
3300582660,Cheshire,6
3300582660,Cheshire,15
3300585540,Cheshire,11
3300585540,Cheshire,17
3300705140,Coos,5
3300705140,Coos,7
3300710100,Coos,4
3300710100,Coos,7
3300713220,Coos,2
3300713780,Coos,3
3300713940,Coos,3
3300716820,Coos,1
3300719300,Coos,2
3300725140,Coos,2
3300730260,Coos,6
3300738820,Coos,4
3300738820,Coos,7
3300740420,Coos,1
3300747860,Coos,2
3300756100,Coos,1
3300761780,Coos,2
3300763860,Coos,6
3300768980,Coos,6
3300773060,Coos,2
3300773380,Coos,3
3300774180,Coos,1
3300784420,Coos,4
3300784420,Coos,7
3300900580,Grafton,11
3300900580,Grafton,18
3300902020,Grafton,8
3300903940,Grafton,1
3300905060,Grafton,5
3300905460,Grafton,2
3300907540,Grafton,10
3300907540,Grafton,18
3300907700,Grafton,10
3300907700,Grafton,18
3300908660,Grafton,7
3300908980,Grafton,9
3300908980,Grafton,18
3300918740,Grafton,9
3300918740,Grafton,18
3300922020,Grafton,3
3300923860,Grafton,4
3300924340,Grafton,16
3300924340,Grafton,18
3300927300,Grafton,2
3300930820,Grafton,11
3300930820,Grafton,18
3300932180,Grafton,11
3300932180,Grafton,18
3300933860,Grafton,12
3300934820,Grafton,5
3300935220,Grafton,11
3300935220,Grafton,18
3300936900,Grafton,8
3300940660,Grafton,5
3300941300,Grafton,13
3300941300,Grafton,14
3300941300,Grafton,15
3300941300,Grafton,17
3300941860,Grafton,3
3300942020,Grafton,1
3300942580,Grafton,1
3300944100,Grafton,1
3300944260,Grafton,12
3300948980,Grafton,1
3300958340,Grafton,9
3300958340,Grafton,18
3300958500,Grafton,6
3300961060,Grafton,5
3300962660,Grafton,8
3300965940,Grafton,6
3300974740,Grafton,1
3300976740,Grafton,4
3300978740,Grafton,5
3300979380,Grafton,4
3300980500,Grafton,6
3300987060,Grafton,3
3301101300,Hillsborough,34
3301101300,Hillsborough,37
3301101700,Hillsborough,30
3301104500,Hillsborough,2
3301104900,Hillsborough,30
3301108100,Hillsborough,36
3301108100,Hillsborough,45
3301117780,Hillsborough,27
3301127140,Hillsborough,27
3301129860,Hillsborough,29
3301129860,Hillsborough,44
3301131540,Hillsborough,31
3301131940,Hillsborough,36
3301131940,Hillsborough,45
3301133700,Hillsborough,31
3301136180,Hillsborough,30
3301137140,Hillsborough,35
3301137140,Hillsborough,45
3301137940,Hillsborough,13
3301137940,Hillsborough,38
3301142260,Hillsborough,14
3301142260,Hillsborough,38
3301144580,Hillsborough,42
3301145140,Hillsborough,15
3301145140,Hillsborough,16
3301145140,Hillsborough,17
3301145140,Hillsborough,18
3301145140,Hillsborough,19
3301145140,Hillsborough,20
3301145140,Hillsborough,21
3301145140,Hillsborough,22
3301145140,Hillsborough,23
3301145140,Hillsborough,24
3301145140,Hillsborough,25
3301145140,Hillsborough,26
3301145140,Hillsborough,39
3301145140,Hillsborough,40
3301145140,Hillsborough,41
3301146260,Hillsborough,36
3301146260,Hillsborough,45
3301147540,Hillsborough,12
3301148020,Hillsborough,37
3301148020,Hillsborough,43
3301149140,Hillsborough,42
3301150260,Hillsborough,3
3301150260,Hillsborough,4
3301150260,Hillsborough,5
3301150260,Hillsborough,6
3301150260,Hillsborough,7
3301150260,Hillsborough,8
3301150260,Hillsborough,9
3301150260,Hillsborough,10
3301150260,Hillsborough,11
3301150740,Hillsborough,42
3301151940,Hillsborough,32
3301159940,Hillsborough,1
3301160580,Hillsborough,33
3301168820,Hillsborough,33
3301176260,Hillsborough,32
3301179780,Hillsborough,28
3301179780,Hillsborough,44
3301185220,Hillsborough,32
3301185940,Hillsborough,30
3301300660,Merrimack,11
3301300660,Merrimack,27
3301301460,Merrimack,5
3301301460,Merrimack,26
3301306260,Merrimack,1
3301306260,Merrimack,26
3301306500,Merrimack,9
3301306980,Merrimack,8
3301309860,Merrimack,4
3301309860,Merrimack,26
3301312420,Merrimack,13
3301314200,Merrimack,15
3301314200,Merrimack,16
3301314200,Merrimack,17
3301314200,Merrimack,18
3301314200,Merrimack,19
3301314200,Merrimack,20
3301314200,Merrimack,21
3301314200,Merrimack,22
3301314200,Merrimack,23
3301314200,Merrimack,24
3301314200,Merrimack,28
3301314200,Merrimack,29
3301314200,Merrimack,30
3301316980,Merrimack,5
3301316980,Merrimack,26
3301319460,Merrimack,10
3301319460,Merrimack,27
3301324900,Merrimack,14
3301324900,Merrimack,27
3301327380,Merrimack,3
3301327380,Merrimack,25
3301335540,Merrimack,8
3301335860,Merrimack,5
3301335860,Merrimack,26
3301337300,Merrimack,10
3301337300,Merrimack,27
3301337540,Merrimack,9
3301343380,Merrimack,4
3301343380,Merrimack,26
3301350900,Merrimack,7
