geoid,senate_district
3300101060,6
3300103220,17
3300104740,2
3300110660,2
3300128740,2
3300128980,6
3300140180,2
3300147140,2
3300151540,2
3300167300,2
3300177060,7
3300300420,3
3300303700,3
3300307940,3
3300311780,3
3300314660,3
3300323380,3
3300323620,3
3300327700,3
3300334500,3
3300338260,3
3300345060,3
3300349380,3
3300358740,3
3300367780,2
3300376100,3
3300377620,3
3300378180,3
3300386420,3
3300500820,10
3300512260,10
3300519140,10
3300526500,9
3300529220,8
3300534420,10
3300536660,9
3300538500,9
3300539300,10
3300545460,10
3300545700,8
3300550580,10
3300564420,9
3300564580,12
3300565700,10
3300573700,8
3300574900,10
3300575300,10
3300575700,10
3300577380,9
3300578420,10
3300582660,10
3300585540,9
3300705140,1
3300710100,1
3300713220,1
3300713780,1
3300713940,1
3300716820,1
3300719300,1
3300725140,1
3300730260,1
3300738820,1
3300740420,1
3300747860,1
3300756100,1
3300761780,1
3300763860,1
3300768980,1
3300773060,1
3300773380,1
3300774180,1
3300784420,1
3300900580,7
3300902020,2
3300903940,1
3300905060,1
3300905460,1
3300907540,7
3300907700,7
3300908660,2
3300908980,5
3300918740,5
3300922020,1
3300923860,1
3300924340,5
3300927300,1
3300930820,7
3300932180,5
3300933860,5
3300934820,1
3300935220,7
3300936900,2
3300940660,1
3300941300,5
3300941860,3
3300942020,1
3300942580,1
3300944100,1
3300944260,5
3300948980,1
3300958340,7
3300958500,5
3300961060,1
3300962660,5
3300965940,1
3300974740,1
3300976740,2
3300978740,1
3300979380,3
3300980500,5
3300987060,1
3301101300,11
3301101700,8
3301104500,9
3301104900,8
3301108100,12
3301117780,8
3301127140,8
3301129860,16
3301131540,9
3301131940,12
3301133700,10
3301136180,7
3301137140,12
3301137940,14
3301142260,18
3301144580,9
3301145140,16
3301145140,18
3301145140,20
3301146260,12
3301147540,11
3301148020,11
3301149140,9
3301150260,12
3301150260,13
3301150740,9
3301151940,12
3301159940,22
3301160580,10
3301168820,9
3301176260,9
3301179780,8
3301185220,11
3301185940,8
3301300660,17
3301301460,7
3301306260,7
3301306500,15
3301306980,7
3301309860,17
3301312420,17
3301314200,15
3301316980,7
3301319460,8
3301324900,17
3301327380,7
3301335540,7
3301335860,7
3301337300,16
3301337540,15
3301343380,17
3301350900,7
3301352100,5
3301354260,17
3301360020,17
3301361940,17
3301366980,7
3301375460,7
3301378580,7
3301380020,7
3301384900,7
3301502340,22
3301502820,14
3301507220,23
3301509300,16
3301512100,23
3301517140,23
3301517460,17
3301517940,19
3301521380,23
3301524660,23
3301525380,24
3301527940,23
3301531700,24
3301532900,19
3301533060,24
3301533460,24
3301539780,23
3301540100,23
3301543220,14
3301550980,21
3301551380,21
3301551620,21
3301552340,21
3301552900,23
3301554580,24
3301556820,17
3301557460,17
3301562500,22
3301562900,21
3301564020,16
3301566180,24
3301566660,22
3301567620,23
3301568260,23
3301571140,23
3301574340,24
3301585780,19
3301703460,4
3301718820,4
3301719700,21
3301726020,6
3301741460,21
3301744820,21
3301747700,3
3301748660,3
3301751220,6
3301765140,6
3301765540,4
3301769940,4
3301773860,6
3301900260,8
3301911380,8
3301912900,8
3301915060,5
3301916340,8
3301930500,7
3301931220,5
3301940900,8
3301941700,8
3301952580,8
3301962340,5
3301972740,5
3301975060,8
3301977940,8
3301978980,8
