geoid,name,county,year,residential,commercial_industrial,utilities,other,gross
3300101060,Alton,Belknap,2025,2158431376,90967900,9718800,1186944,2260305020
3300103220,Barnstead,Belknap,2025,1043127133,22729500,20838197,1774091,1088468921
3300104740,Belmont,Belknap,2025,1313217032,180130730,29236989,1214053,1523798804
3300110660,Center Harbor,Belknap,2025,736378589,28185395,4485650,330777,769380411
3300128740,Gilford,Belknap,2025,3235099570,299431000,25780440,845810,3561156820
3300128980,Gilmanton,Belknap,2025,1045838300,14853600,9857000,2904771,1073453671
3300140180,Laconia,Belknap,2025,4289582994,430179729,78473781,318497,4798555001
3300147140,Meredith,Belknap,2025,3675796088,247358812,20992400,889454,3945036754
3300151540,New Hampton,Belknap,2025,477438180,58999890,56710100,1393708,594541878
3300167300,Sanbornton,Belknap,2025,926798419,36100608,8098200,2156795,973154022
3300177060,Tilton,Belknap,2025,601358500,476358749,44953000,840169,1123510418
3300300420,Albany,Carroll,2025,198858384,28640712,4349701,273131,232121928
3300303700,Bartlett,Carroll,2025,1920576790,163570800,18659600,481535,2103288725
3300307940,Brookfield,Carroll,2025,241172884,1458800,2072000,945052,245648736
3300311780,Chatham,Carroll,2025,103437200,1027200,2401000,346438,107211838
3300314660,Conway,Carroll,2025,2530827800,702393500,106032900,2299200,3341553400
3300323380,Eaton,Carroll,2025,142457000,4775700,1761700,650362,149644762
3300323620,Effingham,Carroll,2025,360229561,30461300,3035600,1086812,394813273
3300327700,Freedom,Carroll,2025,1149734962,27872500,8407800,1100251,1187115513
3300334500,Hart's Location,Carroll,2025,30705400,5576700,813000,4596,37099696
3300338260,Jackson,Carroll,2025,781874000,63724400,8445400,502747,854546547
3300345060,Madison,Carroll,2025,1120160619,46096400,18374100,1682841,1186313960
3300349380,Moultonborough,Carroll,2025,6662225615,176190279,37016900,1727274,6877160068
3300358740,Ossipee,Carroll,2025,1337750400,202176781,21053700,1707181,1562688062
3300367780,Sandwich,Carroll,2025,790938285,17229300,38158600,2493206,848819391
3300376100,Tamworth,Carroll,2025,632979799,82013764,22202000,2384649,739580212
3300377620,Tuftonboro,Carroll,2025,2393649727,47446700,18463800,1213497,2460773724
3300378180,Wakefield,Carroll,2025,2216962800,53583800,19439900,1149018,2291135518
3300386420,Wolfeboro,Carroll,2025,4519644111,292479995,520900,2093268,4814738274
3300500820,Alstead,Cheshire,2025,291855381,7117700,6782600,1738520,307494201
3300512260,Chesterfield,Cheshire,2025,570868230,45924600,7882731,903912,625579473
3300519140,Dublin,Cheshire,2025,447847186,26687246,5270100,1197028,481001560
3300526500,Fitzwilliam,Cheshire,2025,415443162,30536900,54702508,938409,501620979
3300529220,Gilsum,Cheshire,2025,125294500,9603719,3398900,539185,138836304
3300534420,Harrisville,Cheshire,2025,337279151,8829000,3824900,750958,350684009
3300536660,Hinsdale,Cheshire,2025,275631431,54251662,106344374,806323,437033790
3300538500,Jaffrey,Cheshire,2025,896231873,117972460,18259498,1723085,1034186916
3300539300,Keene,Cheshire,2025,1412006600,765058150,114972300,701660,2292738710
3300545460,Marlborough,Cheshire,2025,190893380,27555958,6592900,624361,225666599
3300545700,Marlow,Cheshire,2025,123320230,4522840,2492000,1216350,131551420
3300550580,Nelson,Cheshire,2025,160342844,3182900,4558500,591769,168676013
3300564420,Richmond,Cheshire,2025,154287900,7346300,10311930,1230150,173176280
3300564580,Rindge,Cheshire,2025,1261908430,184190233,27923300,1618945,1475640908
3300565700,Roxbury,Cheshire,2025,39695000,2437900,1277200,386127,43796227
3300573700,Stoddard,Cheshire,2025,441302610,3990210,19468200,1164790,465925810
3300574900,Sullivan,Cheshire,2025,110400900,2985100,5985800,717044,120088844
3300575300,Surry,Cheshire,2025,129494900,3678600,5517900,461713,139153113
3300575700,Swanzey,Cheshire,2025,815728514,179982211,36859728,2099366,1034669819
3300577380,Troy,Cheshire,2025,200586800,23299200,39574000,486372,263946372
3300578420,Walpole,Cheshire,2025,593006182,118747160,38466300,2288722,752508364
3300582660,Westmoreland,Cheshire,2025,184963400,17158000,3053900,1276626,206451926
3300585540,Winchester,Cheshire,2025,472670900,94615423,49551579,2022369,618860271
3300705140,Berlin,Coos,2025,484967965,54746852,211239900,562350,751517067
3300710100,Carroll,Coos,2025,511969221,141744294,7316300,382478,661412293
3300713220,Clarksville,Coos,2025,47671400,1060200,1342500,958345,51032445
3300713780,Colebrook,Coos,2025,283582300,67850540,32215000,2081692,385729532
3300713940,Columbia,Coos,2025,64694391,3786700,17911700,1038230,87431021
3300716820,Dalton,Coos,2025,135401100,5137878,10907400,836580,152282958
3300719300,Dummer,Coos,2025,80157000,1735800,113257200,1375154,196525154
3300725140,Errol,Coos,2025,125993460,8106360,10057600,637931,144795351
3300730260,Gorham,Coos,2025,279919730,149682680,77242400,306804,507151614
3300738820,Jefferson,Coos,2025,143739300,14244900,8079700,793462,166857362
3300740420,Lancaster,Coos,2025,328814230,96008796,27373300,2307081,454503407
3300747860,Milan,Coos,2025,223511000,10655300,32923200,1614523,268704023
3300756100,Northumberland,Coos,2025,131126730,21889470,74037160,1004813,228058173
3300761780,Pittsburg,Coos,2025,546069332,39698500,18142900,4985047,608895779
3300763860,Randolph,Coos,2025,122860172,3032100,12755200,214958,138862430
3300768980,Shelburne,Coos,2025,49401796,11103500,21285200,408312,82198808
3300773060,Stark,Coos,2025,133487000,5000400,19653777,731844,158873021
3300773380,Stewartstown,Coos,2025,170097855,11741400,20443300,1526128,203808683
3300774180,Stratford,Coos,2025,67649700,5169500,26895800,1053716,100768716
3300784420,Whitefield,Coos,2025,330019200,71591200,45397700,1041866,448049966
3300900580,Alexandria,Grafton,2025,282570400,7387100,13188600,930638,304076738
3300902020,Ashland,Grafton,2025,372530560,50022498,32784400,212421,455549879
3300903940,Bath,Grafton,2025,127286900,4746900,24868100,2198842,159100742
3300905060,Benton,Grafton,2025,52695600,660500,2292700,471732,56120532
3300905460,Bethlehem,Grafton,2025,421319122,99873100,26473100,1289896,548955218
3300907540,Bridgewater,Grafton,2025,765174100,29437100,19033500,749500,814394200
3300907700,Bristol,Grafton,2025,947323300,86278200,25729900,541450,1059872850
